"","taxon.name"
"1","G000204415"
"2","G900103505"
"3","G000463895"
"4","G000745455"
"5","G000953715"
"6","G000380225"
"7","G000332235"
"8","G000478825"
"9","G000284215"
"10","G000009725"
"11","G000284135"
"12","G000373205"
"13","G000620065"
"14","G000376265"
"15","G000423905"
"16","G000381345"
"17","G000701425"
"18","G000422625"
"19","G000236865"
"20","G000311845"
"21","G000468855"
"22","G000468755"
"23","G000423665"
"24","G000240225"
"25","G000420025"
"26","G900128965"
"27","G000969705"
"28","G000013345"
"29","G000284015"
"30","G000427885"
"31","G000482705"
"32","G000379825"
"33","G000428945"
"34","G000379685"
"35","G000297395"
"36","G900109115"
"37","G000379645"
"38","G000962825"
"39","G000426645"
"40","G000379625"
"41","G000429025"
"42","G000620785"
"43","G000423625"
"44","G001420995"
"45","G000194155"
"46","G000384035"
"47","G000371785"
"48","G000374445"
"49","G000482865"
"50","G000716755"
"51","G000379465"
"52","G000427905"
"53","G000427825"
"54","G000519205"
"55","G000739085"
"56","G000384315"
"57","G000383915"
"58","G000527075"
"59","G000428805"
"60","G000318135"
"61","G000341345"
"62","G000688415"
"63","G000420605"
"64","G001021065"
"65","G000240505"
"66","G001881585"
"67","G000257745"
"68","G000222105"
"69","G000723425"
"70","G000373905"
"71","G000234585"
"72","G000379865"
"73","G000312385"
"74","G000241265"
"75","G000333015"
"76","G000423025"
"77","G000241345"
"78","G000248055"
"79","G000247715"
"80","G000298195"
"81","G001620305"
"82","G000014565"
"83","G000454045"
"84","G000380645"
"85","G000381925"
"86","G000526215"
"87","G000284035"
"88","G000308355"
"89","G001310275"
"90","G000250675"
"91","G000515395"
"92","G000373925"
"93","G000270245"
"94","G000423085"
"95","G000423465"
"96","G000421525"
"97","G000426605"
"98","G000425285"
"99","G000423445"
"100","G000463665"
"101","G000204235"
"102","G000221145"
"103","G000372465"
"104","G000312105"
"105","G000426525"
"106","G000389985"
"107","G000422805"
"108","G000422825"
"109","G000381885"
"110","G000425065"
"111","G000379885"
"112","G000384115"
"113","G000372745"
"114","G000744655"
"115","G001625365"
"116","G000380165"
"117","G000240165"
"118","G000373665"
"119","G000381025"
"120","G000429085"
"121","G000375725"
"122","G000384175"
"123","G000253235"
"124","G000373565"
"125","G000204605"
"126","G000242715"
"127","G000203835"
"128","G000421185"
"129","G000224715"
"130","G000421245"
"131","G000426385"
"132","G000247995"
"133","G000224415"
"134","G000420805"
"135","G000688395"
"136","G000482545"
"137","G000238915"
"138","G000425685"
"139","G000425105"
"140","G000422385"
"141","G000422745"
"142","G000956415"
"143","G000422405"
"144","G000333395"
"145","G000202635"
"146","G000333435"
"147","G000938265"
"148","G000421825"
"149","G000419445"
"150","G000421145"
"151","G000421565"
"152","G000225825"
"153","G000233655"
"154","G000759715"
"155","G000312125"
"156","G000701465"
"157","G000767175"
