#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out	Name
1000562	1674	4	209	4	1540	6	139	491	1	638	3	0	678	903	0	171	3	435	5	785	655	4	Streptococcus phocae subsp. salmonis
1000565	13	0	8	0	29	0	57	18	0	55	0	0	112	129	2	47	1	82	0	45	52	70	Methyloversatilis universalis FAM5
1000569	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Megasphaera sp. UPII 135-E
100226	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	Streptomyces coelicolor A3(2)
1002367	4	0	0	0	4	0	2	8	0	18	0	0	12	0	0	8	0	27	0	6	22	0	Prevotella stercorea DSM 18206
1003	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	Thermoflexibacter ruber
1003195	0	0	2	0	4	0	0	0	0	0	0	0	2	1	0	0	4	0	0	0	0	0	Streptomyces cattleya NRRL 8057 = DSM 46488
1003237	0	0	0	0	6	0	2	0	0	7	0	0	3	1	0	2	0	1	0	4	4	0	Nitrospirillum amazonense Y2
1004	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	Chitinophaga sancti
1004326	4	1	1	2	9	6	0	5	4	4	0	0	5	10	6	2	2	0	2	0	6	0	Vibrio mexicanus
100480	5	3	5	0	28	16	0	7	0	7	6	2	3	11	0	11	0	10	0	6	2	0	Cytophagales bacterium B6
1005058	8	2	2	0	39	18	0	21	2	12	2	7	8	12	4	19	0	10	4	25	22	2	Gallibacterium anatis UMN179
1005090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)
1005999	103	199	153	2	405	141	97	287	116	324	209	9	335	394	422	410	2	385	47	275	249	1	Leminorella grimontii ATCC 33999 = DSM 5078
1006000	445934	53931	2120568	20486	372330	72824	188398	640320	18529	593242	62720	4712	563475	1574568	63621	1467604	23958	1253980	34939	1083500	1187144	43034	Kluyvera ascorbata ATCC 33433
1006551	1	0	0	1	3	0	0	0	0	2	0	2	1	1	0	1	0	3	0	0	0	2	Klebsiella michiganensis KCTC 1686
1006576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Defluviitoga tunisiensis
1007096	5	0	2	0	10	0	0	6	0	9	0	0	2	8	0	0	0	0	0	2	2	1	Oscillibacter ruminantium GH1
1007105	103	0	31	0	103	0	124	172	0	183	0	0	230	151	2	96	0	140	206	123	196	0	Pusillimonas sp. T7-7
1007109	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	alpha proteobacterium SCGC AAA076-C03
1007654	18	0	35	0	128	2	6	38	0	48	0	0	36	27	0	38	0	47	0	39	30	0	Bacillus sp. 916
1007676	0	0	0	0	6	0	0	4	0	2	2	0	0	5	0	0	0	0	0	4	0	0	Lactobacillus ginsenosidimutans
1008457	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Myroides injenensis M09-0166
1010	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	Sphingobacterium mizutaii
101510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	0	0	2	Rhodococcus jostii RHA1
1017273	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Domibacillus enclensis
1017277	83	0	3552	2	317	3	2	3	4	16	0	0	97	7	0	527	2	59	2	45	50	0	Exiguobacterium enclense
1026882	421	0	4	0	147	0	14	131	2	77	0	0	80	48	0	38	9	64	0	43	76	0	Methylophaga aminisulfidivorans MP
1027271	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	Candidatus Poribacteria bacterium WGA-4C
1027292	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	Sporosarcina newyorkensis 2681
1028307	92447	18609	104032	3835	147759	52897	38947	97991	3837	117632	38696	1509	94139	99048	20381	75468	3697	103154	21491	60918	75153	2517	Enterobacter aerogenes KCTC 2190
1028800	0	0	0	1	1	0	0	0	0	0	0	0	1	2	4	1	0	1	0	0	2	0	Neorhizobium galegae bv. orientalis str. HAMBI 540
1028989	321	5	71	0	858	0	521	230	3	2568	6	4	4516	1586	24	353	7	615	2	303	1948	48	Pseudomonas sp. StFLB209
1029718	2	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	2	0	Candidatus Arthromitus sp. SFB-mouse-Japan
1029756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	Hyphomicrobium nitrativorans NL23
1030157	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	Sphingomonas sp. KC8
1030841	14	0	2	0	5	0	12	11	0	25	0	0	70	11	0	22	0	58	0	47	19	0	Neisseria wadsworthii 9715
1031746	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	2	0	0	0	0	0	0	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260
1032069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Campylobacter ureolyticus RIGS 9880
1032480	0	2	0	1	2	0	32	0	0	0	0	0	2	2	3	14	2	8	0	6	8	0	Microlunatus phosphovorus NM-1
1032488	25	0	12	0	20	0	7	15	0	37	0	0	144	32	0	67	0	87	0	73	35	0	Neisseria shayeganii 871
1032506	2	0	0	0	0	2	0	0	0	2	0	0	4	0	0	0	0	2	0	1	0	0	Prevotella sp. MSX73
1033730	0	0	1	2	0	2	2	2	0	0	0	0	1	0	2	0	2	0	0	0	0	0	Aeromicrobium massiliense JC14
1033731	4	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	13	0	0	11	0	Alistipes timonensis JC136
1033732	14	0	0	0	2	0	2	6	0	8	0	2	15	4	2	7	2	45	0	2	51	0	Alistipes senegalensis JC50
1033734	3	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	Bacillus timonensis
1033738	34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Kurthia sp. Dielmo
1033739	704	11	962	11	425	7	155	483	0	549	15	6	587	836	16	579	26	509	17	379	671	6554	Kurthia massiliensis
1033740	100	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Kurthia senegalensis
1033741	0	1	0	3	2	0	0	6	2	0	0	0	2	1	13	1	0	2	1	0	0	0	Microvirga massiliensis
1033743	0	2	0	0	0	116	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	Paenibacillus senegalensis JC66
1033744	9	0	0	0	8	0	2	4	0	3	2	0	6	13	0	2	2	6	0	4	16	2	Peptoniphilus senegalensis JC140
1033802	0	0	3	0	3	0	2	0	0	4	0	0	1	0	0	0	0	1	0	1	0	0	Salinisphaera shabanensis E1L3A
1033837	17	0	0	0	15	2	4	2	0	2	0	0	5	4	0	6	0	6	0	2	2	0	Lactobacillus kefiranofaciens ZW3
1034345	0	0	0	0	2	0	4	4	0	2	0	1	6	6	0	10	0	5	0	6	2	2	Senegalimassilia anaerobia JC110
1034346	48	0	0	0	11	0	0	2	0	1	0	0	0	5	0	6	0	2	0	6	0	0	Dielma fastidiosa
1034347	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Bacillus massiliosenegalensis JC6
1034807	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	Flavobacterium branchiophilum FL-15
