#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out
N10000	9	0	2	13	22	0	6	4	10	6	1	1	14	24	10	20	4	12	0	8	12	4
N10001	22	1	30	29	85	77	33	39	17	57	49	0	52	33	0	70	22	49	2	41	45	1
N10003	6	21	11	42	16	8	23	12	36	21	6	8	14	13	69	12	25	12	77	12	6	24
N10004	11	10	6	14	6	6	16	9	26	4	1	6	0	10	18	18	16	6	43	11	2	13
N10005	0	1	0	0	2	0	0	0	1	0	2	3	0	0	0	0	0	2	2	0	1	1
N10006	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	4	2	2	0	0
N10007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0
N10008	21256	17402	17467	13176	27519	17121	16894	23550	7740	25249	11882	10759475	18109	16850	1778	46637	534	53464	3779	57788	55646	405
N10009	4905	1936	8769	16632	13417	5649	6383	7446	1388	8916	4916	3274	9221	10542	5199	9176	1134	9495	3643	8569	7781	6147
N10011	109	0	176	4	235	13	21	103	1	104	5	7	103	208	2	126	0	85	2	113	86	2
N10012	376	302	1016	39	838	172	203	628	52	595	2480	1097	712	626	120	809	45	803	116	737	631	31
N10013	799	1151	1056	84	1449	849	376	994	101	1133	261	5488	1207	1535	5445	1557	57	1464	3751	1304	1062	187
N10014	7565	494	6816	42	14781	1589	3302	9588	70	12173	567	1121	12218	11054	227	13018	1197	11235	21521	10034	8618	174
N10015	30732	5306	32719	2234	52006	29113	29231	36617	1213	47830	12377	2801	47925	49241	14309	55189	6527	48351	12037	39473	39447	37673
N10021	0	0	0	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
N10023	3	0	0	0	2	0	0	0	2	0	0	0	10	1	7	1	0	2	0	2	0	0
