Subsystem 3	FAME000001_good_out_R1.fastq	FAME000002_good_out_R1.fastq	FAME000003_good_out_R1.fastq	FAME000004_good_out_R1.fastq	FAME000005_good_out_R1.fastq	FAME000006_good_out_R1.fastq	FAME000007_good_out_R1.fastq	FAME000008_good_out_R1.fastq	FAME000009_good_out_R1.fastq	FAME000010_good_out_R1.fastq	FAME000011_good_out_R1.fastq	FAME000012_good_out_R1.fastq	FAME000013_good_out_R1.fastq	FAME000014_good_out_R1.fastq	FAME000015_good_out_R1.fastq	FAME000016_good_out_R1.fastq	FAME000017_good_out_R1.fastq	FAME000018_good_out_R1.fastq	FAME000019_good_out_R1.fastq	FAME000020_good_out_R1.fastq	FAME000022_good_out_R1.fastq	FAME000023_good_out_R1.fastq
&#945;-Fimbriae	493.0	231.0	1421.0	210.0	1095.0	212.0	416.0	715.0	2.0	697.0	108.0	200.0	545.0	887.0	14.0	873.0	108.0	800.0	2.0	824.0	716.0	2.0
&#946;-Fimbriae	1136.0	2928.0	3070.0	5368.0	1847.0	11165.0	3743.0	2105.0	5616.0	2474.0	4710.0	15.0	2408.0	3119.0	888.0	2415.0	6305.0	2184.0	176.0	1630.0	1467.0	3865.0
&#954;-Fimbriae	6.0	0.0	32.0	0.0	18.0	3.0	1.0	15.0	0.0	19.0	0.0	0.0	23.0	8.0	0.0	38.0	0.0	44.0	0.0	63.0	23.0	0.0
&#963;-Fimbriae	2028.0	3005.0	4891.0	4133.0	4601.0	5013.0	3788.0	3399.0	4097.0	4311.0	6356.0	1165.0	4402.0	5699.0	4728.0	4927.0	4592.0	4956.0	6917.0	4080.0	3101.0	2967.0
(GlcNAc)2 Catabolic Operon	1272.0	0.0	55.0	3.0	824.0	5.0	476.0	1349.0	1.0	1442.0	4.0	2.0	1779.0	1539.0	6.0	2567.0	2.0	2871.0	3.0	2573.0	2306.0	8.0
2-Ketogluconate Utilization	6069.0	5423.0	10212.0	7327.0	13841.0	11114.0	7159.0	8967.0	7864.0	11594.0	8623.0	3942.0	11217.0	13585.0	8296.0	11250.0	8130.0	12864.0	14122.0	9985.0	9166.0	4829.0
2-O-alpha-mannosyl-D-glycerate utilization	2713.0	26.0	3404.0	4504.0	4081.0	6250.0	3520.0	2895.0	4663.0	3195.0	5059.0	128.0	3320.0	4200.0	104.0	3410.0	4787.0	3045.0	34.0	3227.0	2340.0	2751.0
2-methylcitrate to 2-methylaconitate metabolism cluster	6.0	0.0	1.0	0.0	3.0	0.0	2.0	2.0	0.0	8.0	0.0	0.0	25.0	5.0	0.0	2.0	0.0	8.0	0.0	6.0	17.0	0.0
2-phosphoglycolate salvage	6200.0	2396.0	8294.0	4607.0	11362.0	5566.0	5394.0	8505.0	4786.0	10444.0	4332.0	3797.0	10742.0	11692.0	4675.0	10748.0	5001.0	11896.0	5014.0	9728.0	9535.0	3108.0
4-Hydroxyphenylacetic acid catabolic pathway	7557.0	11371.0	12342.0	11996.0	17047.0	12187.0	10631.0	10702.0	13201.0	13807.0	9858.0	46.0	12934.0	17121.0	14709.0	13391.0	13160.0	14343.0	51.0	10484.0	10844.0	12594.0
5-FCL-like protein	28476.0	12187.0	34029.0	16453.0	48045.0	22188.0	19989.0	32987.0	17427.0	40745.0	16064.0	7901.0	43000.0	48152.0	20183.0	42432.0	18160.0	46069.0	31347.0	41836.0	36932.0	13971.0
A DNA integrity scanning protein that co-occurs with RadA	8.0	1.0	7.0	2.0	10.0	747.0	9.0	11.0	1.0	6.0	3.0	3.0	5.0	3.0	6.0	1.0	3.0	8.0	4.0	5.0	6.0	2.0
