Subsystem 3	FAME000001	FAME000005	FAME000004	FAME000003	FAME000002	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000016	FAME000015	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
&#945;-Fimbriae	0.0078030077430662	0.0110909003164192	0.0011508536145788	0.0212550814299258	0.0037082442202999	0.0030724018826623	0.0041438255694337	0.009713045436095	3.2146520534095144e-05	0.0073387998992431	0.0030614047474355	0.0068920410021303	0.0052923481943839	0.0079551938927959	0.009700397854061	0.0001342236943666	0.0005454360165643	0.0080223818285885	3.900798025260008e-05	0.0098154550417116	0.0087655324915837	7.663666213616266e-05
&#946;-Fimbriae	0.0215157157694259	0.0204572438057484	0.1511676206165825	0.0481107109775914	0.1238796674880182	0.204429067518462	0.0889543918244221	0.0321503721019062	0.1547441651309814	0.0306561723554274	0.13457603689007	0.0004996729726544	0.0286208464963442	0.0332626028998908	0.0298667795416979	0.0209625828554969	0.1635875621561384	0.0246943395816053	0.0034229502671656	0.0212895560212605	0.0206707239914008	0.1481003495781343
&#954;-Fimbriae	0.0001138397659757	0.0001996911000561		0.0005022158705865		5.494666510373928e-05	2.3775061292108005e-05	0.0002296090691296		0.000235721276711			0.000273712877096	8.545763202883684e-05	0.0004708633477739			0.0004984178631149		0.0008244495621387	0.0003251892283188	
&#963;-Fimbriae	0.0384778408998198	0.0509877942143275	0.1163889299568434	0.0767527098469779	0.1271374319677236	0.0917884040557964	0.0900242695825669	0.0519962493103436	0.1128893953955895	0.0534591042814799	0.1816690744381564	0.0401461388374091	0.0523743640043289	0.060867198412539	0.0610119117687998	0.1119899341703838	0.1191425987979362	0.056089001118495	0.134889595713491	0.0533711131892474	0.043808644519395	0.1136904882789973
(GlcNAc)2 Catabolic Operon	0.0241340303868692	0.0091192269025625	8.44826493758844e-05	0.0008631835275705		9.15777751728988e-05	0.0113169291750434	0.0206290992553573	2.7554160457795834e-05	0.0178672592286017	0.0001143381791759	6.89204100213033e-05	0.0211393611890531	0.0164078653495366	0.0317915367352301	0.0001421192057999	5.189137578307326e-05	0.0324858945856792	5.851197037890011e-05	0.0336104966998898	0.0325472001560908	0.0003065466485446
2-Ketogluconate Utilization	0.1040612463000494	0.1385338516722614	0.1816259624568492	0.1439057725843076	0.2052180079066367	0.1809308209275972	0.1506189757957195	0.1243894375950357	0.1886587442944517	0.1300048331132647	0.2219971030516669	0.1309539480712278	0.1205572334022692	0.1300985625599005	0.1252190856940728	0.1688751201696839	0.1838057394456183	0.1310738918830461	0.2438681405441924	0.1175255031912305	0.1170615241524873	0.1648135283123291
2-O-alpha-mannosyl-D-glycerate utilization	0.0290443189592922	0.0281795575037518	0.094288268880112	0.0360936268492138	0.0006656557724766	0.0779619915601919	0.0612128578067476	0.0282804388023204	0.0974710056754222	0.0255246855798668	0.098744357172653	0.0029118873234	0.0248828806400027	0.0285396444364304	0.0298422037792484	0.001817546731953	0.0931899920562951	0.0239559637245438	0.0005753677087258	0.0280077294109427	0.0219380194043711	0.0786170812135315
2-methylcitrate to 2-methylaconitate metabolism cluster	0.0001043531188111	3.328185000935221e-05		1.5694245955828227e-05			4.755012258421601e-05	3.061454255061692e-05		9.925106387835688e-05			0.0002975139968434	5.341102001802303e-05	2.478228146178783e-05			8.495759030368829e-05		7.851900591797746e-05	0.0002403572557139	
2-phosphoglycolate salvage	0.0840233920480899	0.0890924000057295	0.0932745441373232	0.0951229679794086	0.0750745478053667	0.0767395518189497	0.0942981859281043	0.0946692041457368	0.0937317858252022	0.0935110637100634	0.0976794013899039	0.0894167109261506	0.0917221815506422	0.0915005717895554	0.1002101496164157	0.0898961313136945	0.0923225412244548	0.1016200033370983	0.0815564687509485	0.0963146063883986	0.0989716389996053	0.0878427972342753
4-Hydroxyphenylacetic acid catabolic pathway	0.0758852717778949	0.1007851877826959	0.189728317880049	0.1026897182356222	0.2519556458891803	0.134359553881921	0.1394769914466841	0.0880402172020155	0.2016670634465777	0.0930708020402263	0.1692019252262609	0.0007977537459965	0.0836971476160068	0.099825501619514	0.0890650413455194	0.1923520568393813	0.1906082663826483	0.0876086716811174	0.000489225085668	0.0727014019045046	0.0818289965175466	0.2706168267798135
5-FCL-like protein	0.1588270984690887	0.1496125683967981	0.1210409634689542	0.1444250966310737	0.1422983560545261	0.1053470139025316	0.1334686187188658	0.1470462046598438	0.1259879004781642	0.1489093728917557	0.1226367854691297	0.0839877720623456	0.1549149819186226	0.1493402459999007	0.1491187317635783	0.1263778180426618	0.1223180838351995	0.1506257778933068	0.1707867138139646	0.1565660928668692	0.1554761117035671	0.1371036594499262
A DNA integrity scanning protein that co-occurs with RadA	5.0595451544799286e-05	4.252680834528338e-05	1.40804415626474e-05	5.49298608453988e-05	1.0577157401640896e-05	0.0067065457351619	0.0001208565615682	7.526075043693328e-05	6.888540114448959e-06	1.860957447719192e-05	2.8584544793982604e-05	0.0001033806150319	1.4875699842174772e-05	8.011653002703454e-06	3.097785182723479e-06	5.329470217499232e-05	2.594568789153663e-05	3.115111644468571e-05	5.3635972847325095e-05	1.6358126232911973e-05	2.2386214992967187e-05	3.1931942556734434e-05
A Gammaproteobacteria Cluster Relating to Translation	0.0871494681613937	0.0905461785087767	0.0893632656701066	0.0987269709547784	0.086559628251398	0.070563226865884	0.096847429136958	0.0910310666683198	0.0886763409061613	0.0897434322779594	0.1166125561233714	0.0710096830222347	0.0887401232011693	0.0876131990614879	0.1039060138584168	0.0953111174395515	0.0930298700967359	0.1012702163059085	0.0944651149589325	0.0970153573578806	0.0919429622133145	0.0901685070504908
A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis	0.0186649782964485	0.0201096333723177	0.0242418268903577	0.02133109596163	0.021147263365014	0.0167434698941116	0.0244506692838253	0.0213740531240891	0.0255886303451396	0.0211559845848212	0.0215479826838637	0.0113948411235221	0.0224692487549438	0.0212873181016499	0.0239727269340363	0.0231141097210799	0.0251954250833396	0.0233784409051239	0.0197737953230471	0.0227966847181863	0.0221800261706637	0.0239872752486188
A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	0.0771991949974542	0.0402176378710234	0.0004114617923306	0.0084710502170382	0.000852216682075	0.0356595134830394	0.0159894080064081	0.0323227550588593	0.0004482143434468	0.0316250960970363	0.000156534411967	0.000433624246384	0.0361233277914126	0.0358711928786012	0.0094118138701339	0.0004607594886451	0.0007740051717992	0.0115376138574205	0.0001722852461156	0.027280177079718	0.0258285640315824	0.0005236838579304
A Hypothetical Protein Related to Proline Metabolism	0.015903573417605	0.0158920833794656	0.0140405469782199	0.0160656764434494	0.0121249481014143	0.0200631642441292	0.0141144613870814	0.0154947853484309	0.0136576788669141	0.0161799911426695	0.0200091813557878	0.0070131738439859	0.0162115376880019	0.0166054861236033	0.0140050868110928	0.0122972590574148	0.0131523016203514	0.0147118227209219	0.0165588876172286	0.0143002739528115	0.0153710821472762	0.0107674510301308
A TRAP transporter and a hypothetical	0.0042120713411045	0.0025959843007294	2.81608831252948e-05	0.0002511079352932		0.0167953639667096	0.0024012811905029	0.0081358146828264	2.7554160457795834e-05	0.0069475744714849			0.009966718894257	0.0058324833859681	0.0027570288126238	4.737306859999317e-05	2.594568789153663e-05	0.0042138964790629		0.0027743382091018	0.0082145626805772	7.663666213616266e-05
