Subsystem 3	FAME000104	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000112	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000124	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000132
&#945;-Fimbriae	0.0008781413940261	0.0019774631397943	0.0013115105976608	0.0022207537270903	0.001335648516288	0.0025931269271723	0.0020513937621371	0.0026912763075416	0.0034186731631928	0.0033953982326502	0.0030082215409374	0.0013499595167455	0.0028126894923042	0.0035059444673377	0.0031490172245007	0.0035719856382242	0.0039961821560923	0.0033166465899238	0.0033218782476641	0.0028230547014489	0.001384778024853	0.0004475874353315	0.0014268728706836	0.0006670494150206	0.000612010804906	0.000620928846888	0.0013482493117677	0.0015160826334141	0.0001602326653704
&#945;-related Fimbriae in Yersinia	5.376375881792852e-05											0.0001118236139043										6.839196804727253e-05							
&#946;-Fimbriae	0.0035663293349225	0.0961475139940731	0.0770045611382791	0.1016773394205065	0.041217889521018	0.0196195850828936	0.017139535692462	0.0215229548474098	0.02010196902358	0.0128869346410988	0.0132149945381803	0.0072685349037841	0.0106974308368495	0.0129610677548574	0.0149197646086329	0.0226853665083898	0.0207862319933583	0.0236091125290471	0.0627681703060949	0.0880144576220931	0.0801633102150961	0.007203953967646	0.0104176657746989	0.0114893511311317	0.0239902188839151	0.0250771948808797	0.0626994853578176	0.0880514594126076	0.0035062677363422
&#963;-Fimbriae	0.0105018542224353	0.1098123147843266	0.1077613912757303	0.1217557062657359	0.1140156545954529	0.1196971443075276	0.1162862494082779	0.1206963265742691	0.1233669063426814	0.1262565314837556	0.1337569189665609	0.0280677270899973	0.1264379524397904	0.1290717558124056	0.1277085884600313	0.1288951280370007	0.131164016594273	0.1311372200600965	0.1210106267243405	0.1264815595565182	0.1148517574925382	0.0224895588262114	0.0630089164442135	0.1170257692689874	0.1116520205901685	0.1160633284688553	0.1271155890690321	0.1293006387594203	0.117912390810864
(GlcNAc)2 Catabolic Operon	0.0335485855023873	0.0023872242344418	0.0043280248608604	0.0024485813225889	0.003486090158494	0.0031815543377665	0.0052518660092844	0.0061344353645479	0.0043877394315428	0.0009742699728665		0.0445057983339399			3.830491555489841e-05	8.801306113827294e-05		0.0001103229557432		2.057614438856649e-05	2.7728574961984124e-05	0.0551011289234192	0.0328815059969233	0.0053823987280977	0.0040210448790935	0.0027943848282248	0.0027275158281748	0.003271857508228	5.655270542487483e-05
2-Ketogluconate Utilization	0.0368640172961596	0.1666460871474042	0.170576672888738	0.1699315437876737	0.1669905540627646	0.1661890800099641	0.1669123451734523	0.1610988364147074	0.1575887228974182	0.1589757647391916	0.1694096760479894	0.0616026970364692	0.166038642275767	0.1622828078038023	0.1633576965364568	0.1604991514074022	0.1628358150771949	0.1528401970760249	0.1585508432043214	0.1704202012196029	0.2050042868376891	0.0538780525615071	0.1047095153642009	0.1669164651717399	0.1545053741919866	0.1698472065707229	0.1675300303307389	0.1689761565365316	0.2524277133893808
2-O-alpha-mannosyl-D-glycerate utilization	0.0216981569962689	0.0616301723191745	0.0547002349988943	0.0322233302052707	0.0226709784817097	0.0084841449007107	0.0077145653406651	0.0079275780095697	0.007397932762485	0.0005196106521955	0.0002583761450001	0.0233329289045964	0.0002145797336005	0.0005029936204241	0.0020071775750766	0.0058183967834159	0.0045801339547989	0.0062626664543562	0.0409205766223668	0.0564503091942925	0.044316270647159	0.0190733800222501	0.0187344356181669	0.0180089541033199	0.0183224603876689	0.0119837353955251	0.0042152517344521	0.0029401432349025	0.001621177555513
2-methylcitrate to 2-methylaconitate metabolism cluster	0.0001612912764537	0.0001646361540994						5.243107149186323e-05				0.0001677354208565		5.389217361687085e-05			4.132451688540424e-05	3.677431858107027e-05			2.7728574961984124e-05	0.0001025879520709	0.0002514608980099	4.140306713921367e-05	3.0233420143560388e-05				
2-phosphoglycolate salvage	0.066104610944661	0.0902061414512023	0.0869821786587441	0.0817157174347647	0.0865126220604884	0.0797784289246764	0.0873394498534045	0.0857560940842455	0.0816180880014836	0.0818900623780919	0.078572635827214	0.0850595859670346	0.080121698324901	0.0813341967372805	0.0792999914093626	0.0812775996910322	0.0833375297396313	0.0802258756865641	0.083539829390533	0.0858726932847966	0.0875748942207682	0.0841053483821717	0.0834631792449945	0.0767477811899162	0.072989846840085	0.081682969577309	0.0812177783241892	0.0807093766611153	0.0855934846471882
4-Hydroxyphenylacetic acid catabolic pathway	0.0222662607144451	0.1208401931730874	0.1008157378002957	0.1408087296821314	0.1119467854033531	0.1115276197802182	0.1182273106968446	0.1366633355459245	0.1514901659607774	0.1642172633848823	0.147711593993019	0.0380330748157752	0.1508173657611272	0.1473489015504701	0.1682224208119286	0.1668236448641917	0.1832611462897538	0.1864605049334587	0.1838617684517127	0.1783723666221744	0.1187744265638268	0.0364392405755868	0.0644129919890203	0.0303229163216411	0.0459779775736551	0.0405427842456621	0.1026786412513419	0.1276924472056356	0.0091992400824463
5-FCL-like protein	0.1505063222271652	0.1334543729903544	0.1338635100304424	0.1362954203413786	0.1343454253783824	0.131460949389088	0.1283723152289266	0.1301933164386814	0.1267375589547321	0.1243629313387094	0.124578527388163	0.1545380310001288	0.1268272575618349	0.1297417406272909	0.1215575538260642	0.1229172386874905	0.1180543933630566	0.1177969280711436	0.1187620159069432	0.1208966803670609	0.1405978567426221	0.1618279018327983	0.1396647047398712	0.1497526499498646	0.1421830164132219	0.1496473455802258	0.1445246901318368	0.1364920280064251	0.1683902549437338
A DNA integrity scanning protein that co-occurs with RadA	0.0015277868130761	0.0016600812205026	0.001333760136577	0.0016221851262151	0.0006493697354057	0.0008307391881945	7.688542581159664e-05	3.932330361889743e-05		2.2142499383331395e-05		0.0023948890644519								5.144036097141622e-06		0.0016984005398406	0.0021913021112297	0.002736052686783	0.0028369025901374	0.0030754292793393	0.0027227474438599	0.0023803046405015	1.4138176356218709e-05
A Gammaproteobacteria Cluster Relating to Translation	0.0645366719910709	0.1062824372422659	0.1046453052010492	0.1017768130367366	0.1075478343812272	0.1066561382468517	0.1094140441723837	0.1052868346628105	0.1052354113312569	0.1086231412188931	0.1058049413510458	0.0981091798374249	0.1003870261053918	0.1038105051603424	0.1047733378671761	0.1077618299508028	0.1058751833111293	0.1019775057096946	0.1013640965833762	0.1013447372596358	0.089776807154416	0.0986953092228848	0.1011698611010398	0.0981714039661772	0.0956556259687113	0.0988665626412176	0.1011560620796772	0.1030064602122962	0.0921972024076802
A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis	0.0112903893517649	0.0248326199099989	0.0236327298095498	0.0252509948891986	0.0246076952364287	0.0228600570935817	0.0248044212195259	0.0249134974705503	0.026300926476283	0.0242312751584923	0.0249868637786766	0.0172581110792413	0.0247271587131425	0.0251317169633341	0.0255366103699322	0.0256191352129989	0.0240784185052288	0.0245284704935737	0.0264232064682894	0.0256755988395329	0.0239898387712764	0.021178712771972	0.0220417451434219	0.0192972795424685	0.0189664322367268	0.0206768417605716	0.021338519809585	0.0196764302743956	0.0241574306673257
A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	0.0525647629918139	0.0073158231023723	0.0062601788166016	0.0082256542976095	0.0038754678757768	0.0037957289939221	0.0002200106030916	5.243107149186323e-05	0.0001530606778445	8.856999753332558e-05	8.822600073177164e-05	0.0334837618312157	0.0001800185720262	5.089816397148914e-05	0.0001149147466646	0.0001100163264228	5.5099355847205633e-05	4.903242477476035e-05	3.481318375268714e-05	9.25926497485492e-05	8.318572488595237e-05	0.0252428511938415	0.0270352967109444	0.0329003722595769	0.0445482967225331	0.0231937382103286	0.0148014168659079	0.015631448848535	0.0001036799599456
A Hypothetical Protein Related to Proline Metabolism	0.0181945520466339	0.0127387224234441	0.01410357606268	0.0125948901780669	0.0147874020448538	0.0148767124127046	0.0149098583439257	0.01350973942107	0.0129548857053401	0.013543828789471	0.01307320275129	0.01445320209714	0.0134617226991152	0.0138951987642165	0.0127842655664473	0.0119734435256859	0.0120564278013167	0.0123163321981101	0.0131332735707012	0.012061049969098	0.0144304125531325	0.0160208185150735	0.0152463137329142	0.01606093979442	0.0152603188174621	0.0150278482931688	0.0138569248193641	0.0133619717096406	0.0166076444931048
A TRAP transporter and a hypothetical	0.0115323262664456	0.0004939084622983	0.0005784983724912	0.0002448581322588	0.0004101282539404	0.0004949084525414	0.0003548558114381	0.0005243107149186	0.0002551011297408	0.0002214249938333		0.0091136245332063	3.786701181185699e-05		3.830491555489841e-05	4.400653056913647e-05			3.481318375268714e-05	2.057614438856649e-05		0.0090961317502872	0.0062146764793893	0.0015733165512901	0.002403556901413	0.0026739372063185	0.0012874637650475	0.0014944124259034	5.655270542487483e-05
A conserved operon linked to TyrR and possibly involved in virulence	0.0258603679914236	0.06470200856108	0.0627992122137718	0.0590108098743939	0.0646635547046153	0.0680852628282038	0.0597577186461825	0.063231872219187	0.0641834442428011	0.060139028325128	0.0635605316700463	0.045120828210414	0.0645253881274043	0.0619221074857846	0.0622837926922648	0.0624452668776046	0.0612016095072836	0.0603466567915363	0.0621415329985465	0.0628806972514592	0.0572872358714591	0.0492422169940362	0.0561476262270842	0.0610695240303401	0.0591063363806605	0.0620064357573336	0.0604821866513468	0.0591991104170395	0.0511801984095117
A toxin-antitoxin module cotranscribed with DinB	0.0002688187940896	0.000864339809022	0.0009963027526238	0.0003060726653236	0.0003417735449503	0.0002121036225177	0.0002483990680066	5.243107149186323e-05				0.0001118236139043										0.0002051759041418	0.0001436919417199	0.0017389288198469	0.0003174509115073	0.0004817904876249	0.0001144412235597	0.0001018917563115	
ABC transporter alkylphosphonate (TC 3.A.1.9.1)	0.0424196057073456	0.0813302601251234	0.0730514889262556	0.0919442286632154	0.0904332799938754	0.092653932436512	0.1027662429924848	0.0979936726182924	0.1028312653985419	0.098755547249658	0.0992920619664138	0.049034654697067	0.0978104915100266	0.0993232759758929	0.1008185377404926	0.1004669092893385	0.1023401660667035	0.1064616522921984	0.0992175736951583	0.1023663183331183	0.1078086994521942	0.0528669913005416	0.0770308550903888	0.1011683945546686	0.0957190081745121	0.0938206676235025	0.0937273620954645	0.0955065395827396	0.1179689435162888
ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	0.2148713424290861	0.4194997804851279	0.4177079637371509	0.4177228724225876	0.4190485434636834	0.4246550193497421	0.4153114131801492	0.4440125289288438	0.4619583841622335	0.47536624801105	0.4664760732976571	0.2695508213164882	0.467335726276033	0.4663514333791238	0.4714952055652446	0.47852701340879	0.4919167178746306	0.4867969776903692	0.480651122580121	0.4914543500061145	0.4481885106834503	0.2630184111177983	0.3446900259471723	0.3556247446810859	0.34257992255004	0.3479531050834838	0.4042850799543609	0.4333852641651334	0.4163363046124763
ABC transporter dipeptide (TC 3.A.1.5.2)	0.1920616837237312	0.4923793060194114	0.4986200416159689	0.5340179508411736	0.5110046687242736	0.5095093180207536	0.4993559704980314	0.5140367216239173	0.5448366514985155	0.5457150773613589	0.5580734475934462	0.2732800722785241	0.547804328503588	0.5336487719243949	0.5533464563541964	0.5552579177353093	0.5536980841160279	0.5605969644014145	0.543372875307879	0.5437742431685025	0.5170928310964823	0.2776291066662846	0.3556658950010251	0.4194270354404996	0.411548784497976	0.4440469443497496	0.5098834937481398	0.5378716212713824	0.5115234395793499
ABC transporter of unknown substrate X	0.0001612912764537	0.0079025353967731	0.0036638230257778	0.0459415070650753	0.0039190033154312	0.0022977892439424	0.0007806827851639	0.0005505262506645	0.0005867325984039	0.0003321374907499	0.0003781114317075	0.0014257510772807	0.0004733376476482	0.000188622607659	0.0002872868666617	0.000660097958537	0.0005372187195102	0.0003493560265201	0.0004815823752455	0.0001748972273028	5.545714992396825e-05	0.0007067170031551	0.0017362776291164	0.0003726276042529	0.0099619119373031	0.0123097469588179	0.0418959782683745	0.0655503632271292	0.0001131054108497
ABC transporter oligopeptide (TC 3.A.1.5.1)	0.3620496321931654	0.4993071561848316	0.5140922203538867	0.5396591615608644	0.5190742676191666	0.5125425120468963	0.4977917322854203	0.5280158439707238	0.5203170192759513	0.5328444859936143	0.5281996135953244	0.4421156244985409	0.5250071852654916	0.5224801322010945	0.5313402519671813	0.5247815442478331	0.5404454755370571	0.5384722501604895	0.5243648769789124	0.5234073875628589	0.4860888512273227	0.4199802575185571	0.4649146787185891	0.5226309164982941	0.5534630669547312	0.5173225360873118	0.5441713558958026	0.5631755494201627	0.4295272231528286
ABC transporter tungstate (TC 3.A.1.6.2)	0.0200538820390873	0.0022911864778838	0.0027103720044497	0.0028362733653322	0.0019220693170781	0.0016968289801421	0.0035249010602855	0.0037968834272024	0.002491487700469	0.0005240391520721	1.2603714390253093e-05	0.0223740414153663	7.573402362371398e-05	5.389217361687085e-05	1.9152457777449207e-05	5.867537409218196e-05	0.0001033112922135	0.0001103229557432	0.0004728790793073	0.0005521265410932	0.000434414341071	0.0233250807025222	0.0143153096938535	0.003053476201517	0.0036884772575143	0.003320339443882	0.002759736482189	0.0040728399258997	5.655270542487483e-05
ABC-type iron transport system	0.0039785181525267	0.0016463615409944	0.0008998863572086	0.0081415328976082	0.0006151923809107	0.0007070120750592	0.0006387404605886	0.0005767417864104	0.0008163236151707	0.0004428499876666	0.0003970170032929	0.0046546579287694	0.0004544041417422	0.0004311373889349	0.000555421275546	0.0002787080269378	0.0005785432363956	0.000312581707939	0.0002088791025161	0.0001646091551085	2.7728574961984124e-05	0.0053744688223814	0.0038257979482946	0.0011592858798979	0.0041570952697395	0.0037097867547122	0.009055161814168	0.0129062891328026	5.655270542487483e-05
ATP-dependent Nuclease	0.0282259733794124	0.0048567665459334	0.0051422077554777	0.0051420207774368	0.0032126713225337	0.0057267978079797	7.097116228762767e-05		0.0002040809037926	0.0001328549962999	7.562228634151855e-05	0.0194573088193606	0.0001893350590592	5.389217361687085e-05	7.660983110979683e-05		4.132451688540424e-05	0.0001470972743242	6.962636750537428e-05	4.115228877713298e-05	2.7728574961984124e-05	0.0173031679159599	0.0119623541481887	0.0121725017389288	0.0140887737868991	0.0086722287772494	0.0081539371786347	0.0071663868605825	
ATP-dependent RNA helicases, bacterial	0.3343836979681064	0.2607836680935133	0.2628310939018558	0.2555706755452226	0.270274519346775	0.2546657494363346	0.2622384446527842	0.2573316988820647	0.2596419298502506	0.2483059880846782	0.2518222135172567	0.3331411830901076	0.2496572088755731	0.2550716577286497	0.2408613090092012	0.2535656291393643	0.2516249833152263	0.2487782652009403	0.2515774723887936	0.2505762863639627	0.256572504123239	0.3319974102241432	0.3093328275376985	0.2762826670199728	0.2864918892803782	0.2582878804157467	0.2568633262799393	0.2591786641379397	0.26427079245044
ATP-dependent efflux pump transporter Ybh	0.1058160379801529	0.1680935133355285	0.1652577017416657	0.1703600455191268	0.1644614298301316	0.1720867390694165	0.1691242797314167	0.1743857437819371	0.174948354776284	0.1777157000506178	0.1779392397615931	0.1234532697504264	0.1762709399841943	0.1740178286088759	0.1848595224679397	0.1835512390038682	0.1767449587188738	0.1790541571712311	0.1738222264771668	0.1739301485165525	0.1628499207517327	0.1399983585927668	0.1443505297862019	0.160699104589668	0.1464204537552629	0.1523662417113969	0.1632933208668694	0.1620588384135997	0.1642290565538365
Accessory colonization factor	0.0018279677998095	0.0001646361540994	0.0001285551938869		6.835470899007967e-05		7.097116228762767e-05			4.428499876666279e-05	7.562228634151855e-05	0.0017332660155177	7.573402362371398e-05	0.0001077843472337			4.132451688540424e-05	0.0001470972743242				0.0015730152650872	0.0001796149271499		3.0233420143560388e-05	0.0004817904876249	0.0002574927530095	3.3963918770533313e-05	
Acetoin, butanediol metabolism	0.1739472652795259	0.1191897157282411	0.1234236990642895	0.1380081647944201	0.1184416220025606	0.1160088979826354	0.1167712190172434	0.1141861351973624	0.1108031757029433	0.1114616514791254	0.1146396049794245	0.1451060488561097	0.1149169140960327	0.1159849396524415	0.1082177705951799	0.1073099247928382	0.1066757966299295	0.1058977794072881	0.1039550677841698	0.1090895735120839	0.1434306754200248	0.1397453083109921	0.1497677159890448	0.161926705530345	0.1649671453423303	0.1526031220344786	0.1511315566714852	0.1548539591117435	0.1768827243926519
