name	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
Klebsiella	1956706.0	47139.0	827935.0	34880.0	3586043.0	24509.0	721952.0	1825479.0	13225.0	2520038.0	13729.0	38228.0	2243741.0	1706316.0	36928.0	965882.0	44000.0	1438604.0	33654.0	773041.0	1740978.0	8331.0
Raoultella	453205.0	4613.0	234615.0	1709.0	1144048.0	2038.0	329793.0	652084.0	7496.0	1030503.0	1399.0	7005.0	995616.0	676218.0	2482.0	489042.0	3443.0	970054.0	7659.0	459942.0	1030631.0	1798.0
Citrobacter	1300269.0	87285.0	3279317.0	16083.0	2495567.0	26768.0	635155.0	1918386.0	5075.0	2439328.0	11995.0	14153.0	2308383.0	2683270.0	333796.0	3122865.0	38549.0	2906560.0	29357.0	2959502.0	1937051.0	40505.0
Enterobacter	900152.0	3928066.0	1820982.0	61842.0	3060669.0	9503152.0	577359.0	2040682.0	18756.0	2422450.0	6159970.0	23778.0	2370404.0	2922213.0	47663.0	1953161.0	30539.0	2183949.0	175509.0	1386173.0	1282706.0	57067.0
Leclercia	360884.0	17322.0	1056133.0	6341557.0	367157.0	11858.0	4558882.0	317179.0	6381975.0	458214.0	12276.0	7744.0	523597.0	1214589.0	7628807.0	1001143.0	7014410.0	734868.0	20400.0	576910.0	468559.0	4675821.0
Kluyvera	367003.0	3294.0	1168368.0	1658.0	337545.0	1727.0	109909.0	524172.0	888.0	430391.0	1049.0	786.0	419112.0	1203874.0	4375.0	1327680.0	2745.0	1152804.0	2190.0	1166906.0	899162.0	1782.0
Escherichia	633168.0	118016.0	1835418.0	31085.0	2308950.0	101289.0	167740.0	1178851.0	38939.0	1091911.0	61530.0	20189.0	883491.0	1417398.0	173944.0	1407314.0	57359.0	1215735.0	66951.0	1689919.0	885565.0	42845.0
Phytobacter	72082.0	3073.0	45860.0	13945.0	237006.0	4189.0	45144.0	177418.0	215.0	132495.0	344.0	2807.0	161815.0	156766.0	534.0	147069.0	536.0	151174.0	1134.0	191289.0	62454.0	295.0
Kosakonia	7174.0	410.0	15494.0	101.0	5706.0	99.0	3250.0	11728.0	38.0	17182.0	36.0	2354.0	14832.0	15548.0	806.0	6809.0	39.0	6297.0	132.0	7055.0	4963.0	50.0
Cronobacter	6927.0	102.0	3331.0	19.0	10926.0	34.0	638.0	4451.0	51.0	3053.0	36.0	8.0	3438.0	4348.0	263.0	5595.0	303.0	6238.0	121.0	12158.0	5406.0	895.0
Pseudescherichia	7253.0	112.0	3612.0	86.0	11704.0	24.0	3866.0	15140.0	40.0	11671.0	18.0	17.0	19288.0	16134.0	199.0	29709.0	137.0	24701.0	65.0	71470.0	9619.0	50.0
Salmonella	43360.0	10839.0	40169.0	5487.0	71140.0	8182.0	16944.0	43905.0	131706.0	47677.0	3515.0	5504.0	55814.0	46608.0	11430.0	67570.0	6329.0	55569.0	7169.0	73921.0	45586.0	4059.0
Atlantibacter	4299.0	51.0	7777.0	169.0	1610.0	28.0	1378.0	21175.0	12.0	13457.0	21.0	8.0	14044.0	7502.0	45.0	11007.0	98.0	15726.0	108.0	26403.0	5914.0	48.0
