name	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
Klebsiella pneumoniae	0.10649727913101607	0.008404137913875802	0.046978825046004286	0.0035045465521115348	0.13166086540962343	0.0015888981199704726	0.04665936132740973	0.08365700652181986	0.0014302796697887512	0.08898534523580193	0.0016790064396511979	0.0054726332603172445	0.07699657249959461	0.05668404408453286	0.0016676049647698385	0.03421096380879966	0.0025278146624324606	0.04907184022979596	0.002684424428262297	0.02902894369731547	0.0689573230557701	0.0013523777692063385
Klebsiella quasipneumoniae	0.02325841796415893	0.00024791229413949556	0.004972902506175921	0.0004364313336508717	0.013140582100362074	3.0416070269607185e-05	0.00518741794017651	0.012179557141112924	0.00015583083971553992	0.022176145021084274	0.0001640586657677264	2.501366818297141e-05	0.011446836797437921	0.008297534739989343	0.001951183575091704	0.0028092764337961144	9.914032680448578e-05	0.002846852394457985	0.00017670160798463267	0.0016083374451847305	0.004958000415587878	4.217517786836751e-05
Klebsiella michiganensis	0.01447727126735529	0.0003678698558198966	0.004543230827972628	0.0009479064906874294	0.019893631644767658	2.3153604318708068e-05	0.008050834201174648	0.014938264268114457	9.939255164728906e-05	0.017472031824268094	0.000148256981246189	2.0695832603768012e-05	0.01565742237542873	0.011236668975186383	5.838706556064778e-05	0.008443465468204016	6.815897467808398e-05	0.011533288471782413	0.00018220165803508812	0.005621965321100634	0.01566480031913959	4.8115343765320676e-05
Klebsiella sp. WP8-S18-ESBL-06	0.0003742121338968251	4.442872654829669e-07	0.00013548525386117467	5.885790069465566e-07	0.00019653257191426364	5.033392243197406e-07	5.950327646305981e-05	0.00013369478377184846	2.7802112348892044e-07	0.00013026035305680053	7.745923785067347e-07		7.500681013747241e-05	0.00010559729959571964	8.79654471723507e-07	0.0003321716264437044	3.9550662289023586e-07	0.0001407230910457776	1.5000136501242161e-06	0.00026151173517130797	0.0003684461414203677	9.90027649492195e-07
Klebsiella sp. WP3-W18-ESBL-02	0.0012805802167518564	0.0004762759485977405	0.0004440265579452886	3.987622772062921e-05	0.0005989484107597943	2.8762241389699465e-06	0.00024711240414298206	0.0006979997527964618		0.0004545510620267663	6.04182055235253e-06	3.722272051037412e-06	0.0009115174745635134	0.0005987981414875271	9.093428101441754e-05	0.0021603108986861033	5.009750556609654e-06	0.0014339197725526647	2.700024570223589e-06	0.0011349850949721886	0.002404798259715079	2.0592575109437658e-05
Klebsiella sp. WP3-S18-ESBL-05	0.0009931930627546954	3.3543688543964e-05	0.0017015849116390695	4.855776807309092e-06	0.00048662808618429214	4.242430604980671e-06	0.0002844297510656914	0.0008238611520543541	7.367559772456392e-06	0.0007613176729895764	2.9434510383255918e-06		0.00043074669308814295	0.000706255938086268	2.3090929882742058e-06	0.0009370716005277271	7.382790293951069e-06	0.0007110155488097435		0.0006273328226157712	0.0009649101693556209	4.356121657765658e-06
Klebsiella sp. WP4-W18-ESBL-05	0.0003420939502754046		0.00015684035273661162	1.030013262156474e-06	0.0002913273423561008		7.851978749764594e-05	0.00019583461284890477	1.251095055700142e-06	0.0001708757715426995	1.5491847570134693e-06	3.126708522871426e-06	0.00012714211444725583	0.00012036851822576692		0.00017322546790421542		0.0001176736192365554	2.2000200201821835e-06	0.0001308901138562758	0.0002921078608632293	1.98005529898439e-06
Klebsiella sp. FDAARGOS_511	0.00010067815250560656	2.576866139801208e-05	2.9152811327878658e-05	5.885790069465566e-07	0.00013841268312594294		9.150417944061604e-05	0.00016359722273377738		0.0001098261160304059		4.4667264612448947e-07	0.00013464865994967682	0.00013547800903818168		0.0001771022034783493		7.679113502756657e-05		4.8462903694477504e-05	0.00012597240513580025	5.94016589695317e-07
Klebsiella sp. RHBSTW-00465	5.744213609215589e-05		7.000219133441987e-06		0.00010431344201603224		1.9118750341223686e-05	3.2538674134894946e-05		8.64184760930498e-05		5.628075341168567e-05	8.996125625557676e-05	2.9316922471849553e-05	2.0891793703433293e-06	9.801679776601821e-05		3.0449565390077735e-05		4.6650579041082913e-05	6.643994007444977e-05	
Klebsiella sp. MPUS7	0.00010685472627895666	0.0002685716519844535	3.092501870343359e-05	1.3243027656297524e-06	0.00023393535198227737	2.8762241389699465e-07	6.584211347458853e-05	0.00013437267281632545		0.00011526681071854813	1.0844293299094285e-06		0.0001328893133475469	7.312317008844013e-05	2.0781836894467853e-05	7.378720042768147e-05	6.591777048170597e-07	0.00015643312577890534	2.0000182001656214e-07	0.0001335079161334013	0.000260490140184713	
