name	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
Klebsiella pneumoniae	1206949.0	37832.0	530173.0	23817.0	2351415.0	22097.0	456374.0	1110673.0	10289.0	1406574.0	10838.0	36756.0	1312929.0	1005416.0	15166.0	529481.0	19174.0	809012.0	26844.0	432473.0	968351.0	6830.0
Klebsiella quasipneumoniae	263591.0	1116.0	56121.0	2966.0	234686.0	423.0	50738.0	161702.0	1121.0	350534.0	1059.0	168.0	195189.0	147175.0	17745.0	43479.0	752.0	46934.0	1767.0	23961.0	69624.0	213.0
Klebsiella michiganensis	164073.0	1656.0	51272.0	6442.0	355293.0	322.0	78745.0	198328.0	715.0	276177.0	957.0	139.0	266987.0	199307.0	531.0	130679.0	517.0	190141.0	1822.0	83756.0	219977.0	243.0
Klebsiella sp. WP8-S18-ESBL-06	4241.0	2.0	1529.0	4.0	3510.0	7.0	582.0	1775.0	2.0	2059.0	5.0		1279.0	1873.0	8.0	5141.0	3.0	2320.0	15.0	3896.0	5174.0	5.0
Klebsiella sp. WP3-W18-ESBL-02	14513.0	2144.0	5011.0	271.0	10697.0	40.0	2417.0	9267.0		7185.0	39.0	25.0	15543.0	10621.0	827.0	33435.0	38.0	23640.0	27.0	16909.0	33770.0	104.0
Klebsiella sp. WP3-S18-ESBL-05	11256.0	151.0	19203.0	33.0	8691.0	59.0	2782.0	10938.0	53.0	12034.0	19.0		7345.0	12527.0	21.0	14503.0	56.0	11722.0		9346.0	13550.0	22.0
Klebsiella sp. WP4-W18-ESBL-05	3877.0		1770.0	7.0	5203.0		768.0	2600.0	9.0	2701.0	10.0	21.0	2168.0	2135.0		2681.0		1940.0	22.0	1950.0	4102.0	10.0
Klebsiella sp. FDAARGOS_511	1141.0	116.0	329.0	4.0	2472.0		895.0	2172.0		1736.0		3.0	2296.0	2403.0		2741.0		1266.0		722.0	1769.0	3.0
Klebsiella sp. RHBSTW-00465	651.0		79.0		1863.0		187.0	432.0		1366.0		378.0	1534.0	520.0	19.0	1517.0		502.0		695.0	933.0	
Klebsiella sp. MPUS7	1211.0	1209.0	349.0	9.0	4178.0	4.0	644.0	1784.0		1822.0	7.0		2266.0	1297.0	189.0	1142.0	5.0	2579.0	2.0	1989.0	3658.0	
Klebsiella sp. BDA134-6	558.0		230.0		1354.0		324.0	285.0		635.0			817.0	696.0		503.0		524.0		300.0	548.0	
Klebsiella sp. CTHL.F3a	484.0	8.0	215.0		993.0	2.0	309.0	455.0		714.0	11.0		717.0	467.0		230.0		368.0		346.0	683.0	
Klebsiella sp. ZYC-1	920.0		461.0	5.0	2895.0	4.0	608.0	2121.0	3.0	2892.0	3.0		2549.0	2369.0	6.0	1037.0	5.0	2460.0		1229.0	2695.0	4.0
Klebsiella sp. RHBSTW-00215	1424.0	39.0	429.0		3327.0	41.0	452.0	1461.0		644.0			699.0	454.0	43.0	726.0		1288.0		183.0	4765.0	
Klebsiella sp. AqSCr	413.0	11.0	22.0	6.0	408.0	54.0	107.0	202.0		368.0	54.0		326.0	148.0		702.0		898.0		561.0	1027.0	
Klebsiella sp. P1CD1	496.0		162.0		1259.0		205.0	530.0		813.0		3.0	526.0	530.0		202.0		177.0	3.0	255.0	341.0	
Klebsiella sp. PL-2018	188.0		82.0		207.0		112.0	243.0		349.0			389.0	141.0		275.0	2.0	231.0		214.0	191.0	2.0
Klebsiella sp. w6	849.0	6.0	504.0		3406.0		519.0	1058.0		1895.0			1614.0	1222.0	13.0	610.0		1067.0		361.0	972.0	
Klebsiella sp. LTGPAF-6F	727.0		196.0	15.0	1990.0		629.0	689.0		1049.0	23.0		1368.0	860.0		453.0		2790.0		600.0	1073.0	
Klebsiella sp. A52	53.0	6.0	12.0		106.0		21.0	150.0		67.0		2.0	72.0	88.0		9.0		110.0		18.0	47.0	
Klebsiella sp. ZJOU C1	593.0		117.0		750.0			1240.0		226.0		477.0	231.0	232.0		336.0		175.0		288.0	294.0	
