"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"&#945;-Fimbriae",380.863551421994,-2.90670175306979,0.726909313869653,-3.99871304110296,6.3687839725951e-05,0.000219540257182206
"&#946;-Fimbriae",3617.07647061182,1.44263039735645,0.630128163217397,2.28942377371369,0.0220547421422593,0.0457535650623962
"&#954;-Fimbriae",8.82584900712077,-5.16573000745893,1.13676255017694,-4.54424717515094,5.51319345507017e-06,2.34722154187876e-05
"&#963;-Fimbriae",4397.87578247648,1.1306068441794,0.182976794014268,6.17896302244337,6.45240050137251e-10,4.18306191594661e-09
"(GlcNAc)2 Catabolic Operon",578.60969051647,-7.5832242440718,0.569571356664729,-13.3139143240582,1.92145245853876e-40,1.09618862759637e-38
"2-Ketogluconate Utilization",9079.68854289363,0.680692880859451,0.0876665107406943,7.76457138659082,8.19217824892277e-15,7.92141981527193e-14
"2-O-alpha-mannosyl-D-glycerate utilization",3105.71837921164,-0.293157484991808,0.714302017609173,-0.410411111497388,0.681504396650999,0.782290258127555
"2-methylcitrate to 2-methylaconitate metabolism cluster",2.55624480415322,-3.67266452633648,1.47522325534864,-2.48956523225938,0.0127899445286121,0.028620844893517
"2-phosphoglycolate salvage",6445.08482360309,-0.0277536968097251,0.0673074289910753,-0.412342251453479,0.680088584095274,0.782238986343455
"4-Hydroxyphenylacetic acid catabolic pathway",11714.2092248648,0.382328478712063,0.661060607850383,0.57835616609392,0.563023681565784,0.698829494841981
"5-FCL-like protein",25790.2684338109,-0.0664737614760652,0.082606247650177,-0.804706222192416,0.420989228131885,0.562469214635223
"A DNA integrity scanning protein that co-occurs with RadA",38.33901150469,0.574504922732833,0.750211303728845,0.765790811038595,0.443800782641272,0.586763259552365
"A Gammaproteobacteria Cluster Relating to Translation",7862.59934592203,0.0792282612166228,0.0790857254903918,1.00180229397084,0.316439089091333,0.439777101891852
"A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis",1744.10945504487,-0.0369870612595735,0.154618940127196,-0.23921429825574,0.810939416075266,0.87208470663702
"A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins",1333.35409032723,-5.34748848247403,0.502989842768497,-10.6314045091667,2.12882040656684e-26,5.52041837248354e-25
"A Hypothetical Protein Related to Proline Metabolism",1807.91834364164,0.0222818934181034,0.0912416644215818,0.244207441406921,0.807070164107327,0.868742506836283
"A TRAP transporter and a hypothetical",175.006075171396,-7.37488002146153,0.964823211812237,-7.64376305541948,2.10963473485243e-14,2.00591102705552e-13
"A conserved operon linked to TyrR and possibly involved in virulence",2755.73267651076,0.171674246967456,0.08991918854583,1.90920591860053,0.0562355330947231,0.10467331690225
"A toxin-antitoxin module cotranscribed with DinB",33.9016232417062,-7.00221992819086,0.810861624335358,-8.63553005598261,5.84553500894963e-18,7.17178004861455e-17
"ABC transporter alkylphosphonate (TC 3.A.1.9.1)",5428.65996014258,0.130888592647993,0.0618487927913636,2.11626754121981,0.0343220597078272,0.0676363905468582
"ABC transporter branched-chain amino acid (TC 3.A.1.4.1)",20795.1237062598,0.572399598803172,0.0535308855158443,10.6928849259135,1.0989837948201e-26,2.98557264259462e-25
"ABC transporter dipeptide (TC 3.A.1.5.2)",32797.1934727669,0.619890855608781,0.14479943748325,4.28103082707409,1.86029583225023e-05,7.17093765066728e-05
"ABC transporter of unknown substrate X",399.191226585397,-3.38750868837961,0.910263991881981,-3.72145742179244,0.000198076267462689,0.000620892915315736
"ABC transporter oligopeptide (TC 3.A.1.5.1)",30181.3677080827,0.326134702986142,0.0978229093101721,3.33392970303153,0.000856282956779296,0.00241836349922073
"ABC transporter tungstate (TC 3.A.1.6.2)",281.74108986183,-5.94985572016158,0.737879146819263,-8.06345557508883,7.4167489954471e-16,7.83565796648624e-15
"ABC-type iron transport system",320.953141467791,-3.91590996909557,0.953062801524437,-4.10876383259531,3.97782596731938e-05,0.00014362972875669
"ATP-dependent Nuclease",671.94179635047,-4.88324003511913,0.595039929787877,-8.20657537530286,2.27586691534278e-16,2.57105361426348e-15
"ATP-dependent RNA helicases, bacterial",13595.319860804,0.0290658765335103,0.0489764241246252,0.593466694496712,0.552868865891251,0.69139575328503
