Contig	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
contig_1006	66.23	0.1335	0.112	0.08044	1.914	0.07327	2.031	29.51	0.04483	18.23	0.05895	0.0583	8.209	29.26	0.01895	0.3623	0.06757	4.782	0.1069	17.35	0.2526	0.03356
contig_102472	13.59	0.0	13.84	0.6237	27.86	0.9214	4.114	29.7	0.9436	28.07	991.1	0.0	26.7	36.88	0.2887	23.37	0.0	18.58	0.6849	12.12	17.77	0.8241
contig_10321	12.44	7.782	114.8	0.3588	52.15	0.1346	1.01	30.61	0.1106	24.55	0.1057	49.16	23.77	39.09	0.3076	30.47	0.1507	21.63	0.02919	41.61	22.74	0.0878
contig_10322	1.349	0.0	46.97	0.0	5.428	0.0	0.03032	1.879	0.0	2.235	0.0	0.0	1.888	3.259	0.0	2.242	0.0	2.205	0.0	3.276	1.872	0.0
contig_1039	139.5	24.65	15.16	7.053	82.89	8.506	17.18	154.8	4.319	147.4	69.65	194.0	192.4	160.3	31.49	280.2	8.253	262.6	60.3	302.9	290.9	2.663
contig_10439	149.2	550.2	443.5	699.0	275.8	267.2	74.12	227.1	382.0	248.7	560.4	372.7	259.3	311.3	258.2	429.4	740.1	360.8	1125.0	428.9	262.0	407.3
contig_10455	62.82	244.3	97.68	139.8	97.16	188.3	17.52	87.66	76.1	97.03	223.6	33.4	81.66	129.7	54.98	98.74	130.3	123.8	320.4	121.8	92.72	73.92
contig_10460	89.48	234.3	214.7	381.6	175.7	171.9	37.62	131.1	180.4	142.4	373.7	61.35	160.3	165.9	128.1	271.6	358.3	220.6	434.8	260.0	167.2	208.7
contig_10461	12.14	0.8129	37.65	0.2735	17.67	556.0	2.514	22.04	0.1747	24.4	50.97	0.5987	23.7	24.57	0.1069	22.25	0.1072	20.09	0.01335	15.2	14.51	0.7067
contig_10585	102.2	187.3	125.8	32.82	186.5	326.2	16.25	135.4	0.1235	162.2	416.9	0.3893	175.2	133.1	3.553	134.5	1.029	130.0	8.519	111.4	147.1	13.27
contig_10828	99.73	11.91	95.38	0.9523	166.8	26.33	9.279	104.3	0.0	119.7	118.4	0.0	91.69	112.5	0.2939	176.8	1.0	132.4	30.33	108.3	189.8	1.468
contig_10892	22.85	0.0	0.5417	0.0	17.93	0.0	8.059	55.74	0.0	67.94	0.0	0.6293	61.11	32.99	20.44	67.17	0.499	89.35	0.0	95.23	89.99	0.5233
contig_10949	17.96	0.2388	14.95	0.2196	29.03	0.09268	1.119	15.15	0.0	16.89	0.1456	0.0	15.42	19.42	0.1355	16.94	0.1844	13.88	0.1607	26.26	10.11	0.0
contig_10951	16.26	0.0	15.11	0.0	27.36	0.05233	1.682	16.9	0.03126	19.94	0.0	0.0	17.76	21.82	0.0	19.4	0.1041	17.3	0.0	25.9	11.41	0.0
contig_10957	14.9	0.0	4.809	0.0	24.32	0.0	1.604	15.46	0.0	28.66	0.0	0.493	12.37	10.77	0.0	8.047	0.1955	4.481	0.0	7.751	13.37	0.4099
contig_10958	24.94	11.18	32.35	27.71	43.43	12.9	4.26	23.12	12.27	26.5	0.1251	0.1999	22.57	29.26	5.838	32.09	26.59	24.34	11.22	37.98	15.77	14.31
contig_10959	2.019	0.0	22.52	0.0	12.82	0.0	0.1791	3.886	0.0	2.054	0.0	0.0	2.037	3.522	0.0	2.331	0.0	3.299	0.0	1.88	4.307	0.0
contig_109897	38.41	24.25	51.75	0.3141	55.45	5.835	83.49	71.07	0.0	79.83	0.6249	0.0	91.53	78.5	157.7	111.2	1.319	104.7	379.9	97.96	94.1	230.2
contig_11016	155.4	295.3	532.0	502.1	255.4	173.6	46.05	215.6	201.8	269.8	253.2	1.633	234.4	304.6	129.3	344.7	379.5	306.7	441.9	360.3	258.8	232.0
contig_11069	52.35	6.235	68.9	53.63	95.03	302.4	56.02	69.57	0.5103	79.92	0.4473	0.3573	81.45	88.57	99.83	86.0	1.133	94.73	0.0	80.06	76.56	609.1
contig_11140	10.47	13.44	8.797	13.16	7.745	3.607	4529.0	7.168	3.403	6.492	4.958	6.366	1.967	2.169	672.7	4.416	2.431	3.703	10.48	1.989	6.765	0.921
contig_11144	6.327	2.321	14.88	0.5691	14.07	0.5405	467.4	1.917	0.4305	0.8733	0.4717	1.055	1.213	2.39	505.4	1.893	0.4781	7.237	1.25	1.317	3.119	0.2507
contig_11145	6.198	2.514	10.87	2.244	19.92	0.7749	756.9	2.179	0.3771	2.393	0.7213	1.008	0.9105	2.051	563.4	3.346	0.514	9.041	2.091	2.076	5.464	0.4791
contig_11146	13.27	14.1	9.681	14.08	7.455	4.07	5019.0	9.261	3.063	7.617	5.187	6.2	2.554	2.658	732.4	5.858	0.8081	4.148	10.04	3.233	8.897	0.6534
contig_11150	19.58	0.3656	2.453	0.5043	2.552	0.1419	155.7	3.202	0.08477	1.582	0.0	0.3561	1.842	2.074	373.4	1.789	0.5648	5.191	0.4923	1.944	3.766	0.2961
contig_11151	4.407	1.437	2.008	0.0	2.333	0.1394	62.99	2.762	0.0	1.081	0.0	0.0	1.743	1.472	213.7	2.197	0.0	2.64	0.0	0.7642	12.07	0.0
contig_11154	9.114	5.857	6.655	4.995	5.459	1.669	1791.0	4.554	1.558	4.022	1.837	6.036	2.231	3.177	1965.0	5.238	2.595	4.353	4.819	2.522	5.627	2.028
contig_11156	10.86	9.58	8.158	13.23	7.021	2.871	3311.0	6.907	1.987	6.647	3.746	5.158	2.338	2.778	1228.0	5.554	5.152	4.281	15.43	2.511	6.862	0.5566
contig_11157	13.65	18.88	13.41	20.46	13.15	4.779	6575.0	10.36	4.61	11.94	7.341	8.707	7.284	4.744	219.2	6.657	0.2114	7.222	13.51	4.074	9.723	0.2216
contig_11158	7.406	2.149	3.69	1.835	7.475	1.072	732.9	3.475	0.4982	4.043	0.6551	1.346	2.005	2.516	900.0	2.754	0.5928	5.077	2.79	1.371	6.875	0.373
contig_11168	13.16	18.87	20.41	21.05	11.15	6.725	7951.0	10.97	3.156	15.95	6.791	15.07	8.082	6.144	0.6146	9.082	0.0	6.925	12.5	6.976	9.7	0.5012
contig_11192	30.2	338.0	47.86	0.9484	92.52	0.2772	4.965	75.21	0.1104	83.92	171.9	0.8501	53.5	79.85	1.036	99.76	1.348	99.24	1.068	102.5	64.96	3111.0
contig_11193	31.67	4.229	28.37	0.4861	33.38	0.2052	19.35	138.3	0.2451	204.9	0.4835	0.0	192.3	146.9	0.0	17.46	0.0	16.25	0.3559	6.073	44.63	1.499
contig_11198	36.17	0.8189	30.52	0.0	44.94	0.106	6.623	71.14	0.0	78.69	0.3329	0.0	65.4	102.1	0.155	35.29	0.0	42.05	0.0	86.64	59.79	27.64
contig_11205	275.4	4.992	1178.0	3.393	706.5	1.18	72.4	748.6	1.208	812.9	11.38	1.48	677.2	1062.0	6.591	690.7	17.1	521.6	5.26	588.8	425.6	29730.0
contig_11207	60.7	216.8	96.41	0.8181	201.2	0.8387	8.129	98.05	0.05894	156.5	0.07749	0.4952	82.53	114.3	0.07214	95.92	0.4909	65.56	0.5134	81.97	154.7	3.706
contig_11208	65.37	0.5484	48.29	0.5043	192.6	3.832	3.402	46.27	0.0	36.32	0.1672	0.0	31.21	34.05	0.3113	33.43	0.4236	17.86	0.0	27.07	42.99	7.107
contig_11294	7.561	0.0	77.24	0.6416	30.13	0.0	0.3366	13.86	0.0	13.26	7.02	0.0	9.374	10.89	0.0	14.65	0.0	9.092	0.0	19.74	10.78	0.0
contig_11297	10.8	0.0	98.84	0.5999	31.35	0.2532	0.3597	20.49	0.0	14.48	0.0	0.0	12.17	16.35	0.1852	21.15	0.0	18.96	0.0	33.86	17.68	0.0
contig_11553	4.139	28.26	66.61	0.3878	21.5	0.0	0.9302	10.9	0.0	5.714	0.0	0.0	6.139	8.044	0.0	8.943	0.0	7.187	0.0	16.24	6.14	0.0
contig_11610	7.002	0.0	2.286	0.0	9.294	0.09921	2.431	12.88	0.237	22.02	0.0	0.0	20.03	14.9	0.0	6.149	0.1974	8.027	0.0	4.023	11.33	0.0
contig_11626	26.2	0.0	2.487	8.968	17.16	0.09464	15.5	35.07	7.943	32.5	14.49	6.769	33.71	27.24	9.272	65.61	12.05	96.71	0.2462	63.46	127.4	4.888
contig_11631	15.77	0.0	0.3236	0.2129	8.797	0.0	18.0	19.74	0.0	17.12	0.1412	0.0	18.49	15.51	0.1972	37.72	0.0	40.19	9.354	35.08	47.35	0.0
contig_11634	12.23	0.0	0.7125	0.0	8.015	0.0	7.915	16.42	0.0	18.0	0.0818	0.0	17.92	12.81	0.1523	39.39	0.1036	56.79	5.148	43.32	79.62	0.2717
contig_11635	3.744	0.1299	0.8349	0.0	3.036	0.05041	2.989	27.46	0.0	14.71	0.0	0.0	17.59	9.088	0.09214	7.625	0.0	12.32	3.366	17.43	8.841	0.0
