species	FAME000016	FAME000003	FAME000008	FAME000022	FAME000023	FAME000015	FAME000001	FAME000018	FAME000013	FAME000019	FAME000006	FAME000011	FAME000014	FAME000002	FAME000012	FAME000009	FAME000020	FAME000010	FAME000017	FAME000005	FAME000007	FAME000004
Acidithiobacillus phage AcaML1	0.016422264726907398	0.004702618182673203	0.004569473955630407	0.012683487790029088	0.0019904854794084276		0.001922474301324777	0.002787068004459309	0.014103792157116246				0.006101968588943233				0.017042465377861096	0.013545688042804375		0.006522063208109719	0.0037101817989081466	0.005804672761573066
Acidovorax virus ACP17	0.0019320311443420468			0.0016911317053372116			0.0001922474301324777		0.0011753160130930204								0.0007409767555591781	0.0005209880016463221		0.00046586165772212284	0.0005300259712725924	
Acinetobacter phage 5W	0.0019320311443420468	0.0011756545456683008	0.013708421866891224	0.03635933166475005		0.0014358326393475577	0.0034604537423845987	0.011546424589902852	0.03937308643861619				0.02440787435577293				0.0014819535111183562	0.02500742407902346		0.008851371496720334	0.0031801558276355543	
Acinetobacter phage ABPH49	0.0028980467165130703	0.0035269636370049025	0.0006527819936614868				0.0011534845807948662	0.0031852205765249245	0.004701264052372082				0.0014081465974484385				0.0014819535111183562	0.0026049400082316107		0.0018634466308884913	0.0047702337414533315	
Acinetobacter phage AM24	0.0009660155721710234		0.0003263909968307434				0.0001922474301324777	0.00039815257206561556	0.0011753160130930204				0.0018775287965979179							0.00046586165772212284		
Acinetobacter phage Ab105-1phi	0.006762109005197164	0.0023513090913366017	0.01631954984153717	0.07694649259284313			0.004229443462914509	0.013537187450230928	0.06052877467429055				0.023938492156623453				0.005927814044473425	0.03959508812512048		0.012112403100775194	0.005830285683998516	
Acinetobacter phage Ab105-2phi	0.0028980467165130703	0.0011756545456683008	0.007506992927107098	0.016911317053372114			0.0011534845807948662	0.0015926102882624622	0.017042082189848796				0.014081465974484383				0.0007409767555591781	0.01250371203951173		0.002795169946332737	0.0005300259712725924	
Acinetobacter phage Ab105-3phi	0.009660155721710233	0.007053927274009805	0.054833687467564896	0.12007035107894203			0.011150350947683706	0.024287306896002548	0.15866766176755775				0.10842728800352976				0.012596604844506028	0.09586179230292327		0.030281007751937983	0.01113054539672444	
Acinetobacter phage AbTJ	0.0009660155721710234		0.012076466882737507	0.04227829263343029			0.004421690893046987	0.005175983436853002	0.02938290032732551				0.02487725655492241				0.0022229302666775344	0.02761236408725507		0.006056201550387596	0.0047702337414533315	
Acinetobacter phage Ac42	0.0009660155721710234		0.0003263909968307434					0.0007963051441312311												0.0009317233154442457	0.0015900779138177772	
Acinetobacter phage Acj9	0.0009660155721710234		0.012076466882737507	0.0008455658526686058																	0.0026501298563629616	
