species	FAME000007	FAME000011	FAME000001	FAME000004	FAME000016	FAME000013	FAME000014	FAME000009	FAME000010	FAME000023	FAME000012	FAME000022	FAME000017	FAME000018	FAME000015	FAME000002	FAME000020	FAME000006	FAME000005	FAME000019	FAME000008	FAME000003
Acinetobacter phage VB_ApiP_XC38	0.00023321142735994064		3.268206312252121e-05		3.864062288684094e-05	4.701264052372082e-05	3.2856753940463566e-05		5.2098800164632205e-06	5.9714564382252824e-05	4.977353043651386e-05	3.3822634106744234e-05	0.00020374898125509371	0.07202580028666986	5.7433305573902306e-05		5.186837288914246e-05	4.821577523734215e-06	4.658616577221228e-06	9.879145124641881e-05	3.263909968307434e-06	
Aeromonas phage AsXd-1	0.0014257698627232734	0.0063438211646605	0.0008305088981723037	0.000261210274270788	0.009872679147587859	0.00746325668314068	0.00732236230673188	0.00018736240573328963	0.006512350020579026	1.9904854794084275e-05	4.977353043651386e-05	0.00602888452952716	4.527755139002083e-05	0.004451345755693582	0.002943456910662493	0.00012032970338728115	0.00515719821869188	0.07915583820714461	0.004775081991651759		0.003064811460240681	0.011439118729352566
Bacteriophage sp.	0.0032490592039009915	0.00027884928196309893	0.0021858532806062715	0.006878537222464084	0.016644448308506733	0.013228181727361945	0.010101104925696798	0.01110122253969741	0.009231907389172827	0.0010947670136746352	0.024936538748693445	0.008793884867753501	0.05691388209725618	0.007815734989648033	0.021637997874967695	0.0083027495337224	0.01040331364805086	0.041889865526202864	0.009489601967799643	0.015213883491948497	0.007771369634540001	0.02082084200378561
Cellulophaga phage phi47:1	0.007870885673397996	0.25	0.004473597699182756	0.0009287476418516906	0.054647500917714795	0.03058172266068039	0.04302357237404129	0.0008899714272331256	0.03558869039246026	0.5447958757140866	0.0007466029565477078	0.030947710207670974	0.0006791632708503124	0.020074852683548333	0.0003589581598368894	0.25616689729859815	0.02945382603347733	0.00017839836837816594	0.04699612403100775	0.0005927487074785128	0.015996422754674736	0.06643623837571569
Cronobacter phage CR5	0.0010547516828324588	0.0008016916856439095	0.35603647318244475	0.0022347990132056306	0.0003091249830947275	0.002767869210834063	0.0020605878542662146	0.002623073680266055	0.0082159807859625	0.00037819224108760123	0.0018913941565875266	0.06894743962659812	0.0007244408222403332	0.2792562509953814	0.001091232805904144	0.0011732146080259912	0.008632379202264425	0.0005303735276107637	0.03347681872391175	0.00220634241117002	0.006083928180925057	0.0011051152729282029
Dickeya phage phiDP23.1	0.012058090846451477	0.0667611655899986	0.0025857279352818254	0.03784646640545639	0.03996406422071524	0.01959251793826065	0.01267801319902744	0.1852077380673568	0.017463517815184716	0.031071478333565557	0.2892837588970185	0.02422546167895556	0.09800325998370008	0.02140468227424749	0.05655744766390029	0.041634077371999284	0.02134754032765992	0.006967179521795941	0.01740925014907573	0.30967826917377417	0.008016162882163058	0.013320166002421849
Enterobacter phage LAU1	0.005618275295489479	0.02336524608449133	0.000913175293129269	0.045189377448846324	0.009389671361502348	0.006211545129196613	0.00605033654703679	0.06004965103751932	0.005512053057418088	0.012042437150420988	0.014981832661390672	0.005707569505513089	0.03366385945848049	0.004304029304029304	0.024768113028745372	0.019388123458275675	0.0054091303155820005	0.011711611805150408	0.0057114639236732255	0.11110745216847234	0.002676406174012096	0.010792508729235002
Enterobacterial phage mEp213	0.0017490857051995548	0.0001161872008179579	0.0013514994338313182	0.000261210274270788	0.013166792248691049	0.007551405384122656	0.0074631769664767235	0.0001405218042999672	0.007200054182752171	0.00047771651505802264	0.003932108904484595	0.006527768382601637	6.791632708503125e-05	0.005514413123108776	2.8716652786951153e-05	0.00022561819385115217	0.008002548960039123	0.12230895704456585	0.005869856887298748	0.00013172193499522508	0.0033748829072298868	0.011027639638368662
Enterobacterial phage mEp390	0.00306885037366831	0.05308593205372496	0.00073246270880474	0.00023218691046292264	0.008713460460982632	0.0043898053089024315	0.0050317771748824205	0.00018736240573328963	0.004501336334224223	5.9714564382252824e-05	0.0002488676521825693	0.0038219576540620983	2.2638775695010414e-05	0.0035913362000318523	0.0001292249375412802	0.000105288490463871	0.0046162851871336796	0.05292163490050675	0.003037418008348241	9.879145124641881e-05	0.002190083588734288	0.012650042911390918
Erwinia virus ENT90	9.010441511634069e-05	1.1618720081795789e-05	5.190680613576898e-05	5.804672761573066e-05	0.001197859309492069	0.0006111643268083706	0.00032387371741314085	4.684060143332241e-05	0.0003334323210536461		0.15310337962271664	0.0003466819995941284		0.0004379678292721771		0.0007671018590939174	0.00040753721555754796	1.928631009493686e-05	0.0002748583780560525		0.00013708421866891223	0.0006701230910309315
