name	FAME000104	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000112	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000124	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000132
Aeromonas	695206.0	42703.0	80615.0	48273.0	67580.0	72309.0	76515.0	151957.0	96688.0	26706.0	99.0	986274.0	130.0	126.0	57.0	95.0	91.0	806.0	1228.0	1205.0	1422.0	950781.0	1014221.0	124826.0	141393.0	62737.0	117016.0	129289.0	1246.0
Tolumonas	65395.0	2.0	4.0	1.0	78.0	60.0	29.0	14.0	1.0			80975.0	1.0				1.0	64.0	77.0	21.0	11.0	30145.0	17670.0	74.0	1.0	2.0	2.0	1.0	67.0
Oceanimonas	7.0											6.0										8.0	2.0	2.0	6.0	6.0	7.0	5.0	
Zobellella	4.0		1.0									4.0										3.0							
Oceanisphaera	2.0											2.0										3.0							
Dongshaea	2.0																					1.0							
Succinivibrio	8.0											1.0																	
Raoultella	118493.0	888.0	1314.0	1104.0	590.0	456.0	281.0	388.0	324.0	304.0	350.0	53300.0	389.0	248.0	328.0	284.0	256.0	532.0	875.0	2323.0	1085.0	60007.0	51804.0	28806.0	3251.0	717.0	1704.0	1919.0	468.0
Klebsiella	72758.0	6736.0	11207.0	6803.0	8660.0	9505.0	8640.0	11029.0	11018.0	12123.0	15773.0	80162.0	15198.0	11486.0	13037.0	10473.0	11302.0	10164.0	11585.0	18345.0	22505.0	60996.0	61075.0	15642.0	17309.0	11175.0	17331.0	12301.0	19712.0
Citrobacter	157833.0	130998.0	163154.0	154518.0	167051.0	253747.0	285307.0	136045.0	122802.0	146709.0	154714.0	359436.0	161141.0	127783.0	164597.0	131530.0	178987.0	198411.0	137666.0	160609.0	69532.0	228448.0	545971.0	259918.0	492574.0	275301.0	548609.0	322542.0	22415.0
Kluyvera	101654.0	475.0	809.0	790.0	490.0	529.0	289.0	287.0	144.0	117.0	141.0	255011.0	148.0	87.0	147.0	104.0	97.0	240.0	423.0	397.0	409.0	141475.0	118941.0	1589.0	1496.0	754.0	2196.0	1836.0	312.0
Enterobacter	46655.0	200485.0	138693.0	1221183.0	120463.0	70023.0	32154.0	34757.0	30030.0	29787.0	37221.0	131127.0	42526.0	30877.0	33753.0	24926.0	24439.0	19504.0	17992.0	26309.0	63313.0	108840.0	432675.0	244155.0	1245107.0	682103.0	2903328.0	3237035.0	59387.0
Leclercia	21455.0	1285929.0	1543500.0	973838.0	1364630.0	1306592.0	1404027.0	2275529.0	2597626.0	3121852.0	3435306.0	36470.0	3410134.0	2434561.0	3730557.0	3355718.0	3800745.0	4392232.0	4816515.0	8290939.0	3783828.0	34850.0	762366.0	289404.0	149644.0	76575.0	257577.0	284919.0	149531.0
Lelliottia	10696.0	135845.0	199661.0	146047.0	541515.0	530219.0	487295.0	635620.0	488336.0	558717.0	881613.0	17385.0	913922.0	613575.0	556849.0	392266.0	143113.0	61112.0	13786.0	22293.0	2217574.0	16799.0	596584.0	2379879.0	2254744.0	1780482.0	1285938.0	414295.0	2667753.0
