name	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000104	FAME000112	FAME000124	FAME000132
Leclercia adecarboxylata	0.5577705469577784	0.5182445424252659	0.3100290063827257	0.33112338956665677	0.18135798921134974	0.19391543840433048	0.24541152520994763	0.1778135762556372	0.16577245131711504	0.007005372777830423	0.16549887596627647	0.16883338111323004	0.20547593467547753	0.26632517361242847	0.25963838945677364	0.28341591827600765	0.5871358889883974	0.7130191076158676	0.00678006955582617	0.04669912356823949	0.03148700306986638	0.010891768986426622	0.008686279017297509	0.01577999143694449	0.03781186660164049	0.0025511900029592943	0.2519698841725125	0.5090421222231464	0.030823521460605272
Leclercia sp. 119287	0.004159981745078512	0.009403788909300591	0.005959523211713557	0.12785961363730977	0.22613352183264737	0.24886063290235017	0.2822430778719122	0.4039275435090507	0.3835038991764001	0.0006388000939033757	0.3781632706468913	0.38294222075024525	0.4034843939199742	0.38012010105270166	0.4247704588460912	0.42223891145572456	0.22754055611704965	0.14596395816768132	0.001569671811051999	0.04036796605026043	0.014067434492251485	0.00580189619436165	0.00505196260425488	0.012451492769084499	0.007723429063369366	0.0008067949628852746	0.3312984954566444	0.048031133415279585	0.011467540764127246
Leclercia sp. G3L	0.0025427761277986016	0.005070280967033764	0.0032118457045445534	0.05678189462925994	0.09939499111298597	0.10804263796620393	0.12434442079490282	0.177913705932179	0.1689645220932187	0.0006323716173713626	0.16779949399488253	0.1628807775836905	0.18022958116533186	0.16664908369892445	0.18640545743689718	0.18878158233285428	0.10038804485711063	0.06472180240184465	0.001353498223954081	0.03427620558566998	0.01061868115750271	0.003628237373394059	0.0027742114343061383	0.008673683052389245	0.00498530026660251	0.0006053903865889262	0.14575724673444543	0.021038314494936892	0.005308951292238523
Leclercia sp. 29361	0.00015566212121480134	0.00022444741151840417	0.00013941564362454244	0.0013638531927188343	0.002234628964707094	0.002360486066465065	0.0029480776632398015	0.003865448348463083	0.0037690452858391765	2.5713906128052396e-05	0.0037849081483369955	0.0034178948474278092	0.0040528797999429544	0.003666232355124709	0.004227582177319456	0.004396158209816193	0.002719537154920952	0.0019410650871079513	0.00012753949117008415	0.000813268424073904	0.00033478262207411373	9.692389760227848e-05	8.238825560151357e-05	0.00021082708144136807	0.00014837418847109005	8.040494282522181e-05	0.00335972325751052	0.0006891495149459494	0.000133560547179861
Leclercia sp. W6	0.00029451980888936844	0.0005942280072032284	0.00016287183011113606	0.0004926828951574619	0.0005016514002403681	0.00043693597161702024	0.000534723091690664	0.0005749460788160786	0.0006220076979266762	1.3571228234249875e-05	0.0005662377920145065	0.000584339233705423	0.000656471951123224	0.0005676320491076379	0.0006583958438849199	0.0006610501082569914	0.0005538838635807258	0.000431510155157069	3.188487279252104e-05	0.0017930072546678592	0.0004115036396327648	0.00011939065544173678	7.126110613809077e-05	0.000342310637609103	0.0001652225395428988	1.4708221248516185e-05	0.0005536665089624766	0.00021811258675982661	2.4459280929323943e-05
Leclercia sp. LSNIH1	0.000818552802183515	0.0012888300121041282	0.000328056241988556	0.000866205276137305	0.0011983020908563023	0.0008945083378971514	0.0010239440015951849	0.00108568123483755	0.0009879816357618485	7.142751702236777e-05	0.0011035622118687493	0.0011247565747808802	0.0011610224272472663	0.0010520407706186407	0.0011546822643722162	0.0011798437154845274	0.0008978789336881874	0.0007394908337531537	6.64024415036906e-05	0.0044156403121464955	0.0008326486905630071	0.0002971084706589903	0.00021709778846720675	0.0008922746156486287	0.00037156954890623403	1.3923782781928656e-05	0.0009056645302854446	0.00030267742442306446	3.540159081875834e-05
Leclercia sp. W17	0.00019413542958323236	0.00015718289222795074	0.0001126557689004004	0.0004976479165815293	0.0007347856324837367	0.0008639505996460065	0.000944822373393802	0.001201802137362663	0.0012567008009776218	2.2618713723749792e-05	0.0011727854678436872	0.0012268452981910709	0.0012701491205565376	0.0011803026049146312	0.0013906672678610425	0.0014754737234125997	0.0009350987014521848	0.0007081307573559611	3.334748163621466e-05	0.00017533065333585736	0.00015241635306437897	5.3430558707942515e-05	3.196096122472509e-05	5.395359718607054e-05	5.018272308484974e-05	1.5492659715103716e-05	0.0010917327832974245	0.0003516603358564154	3.4114260243530765e-05
Leclercia sp. LSNIH3	0.002410551769153074	0.002734494395610868	0.001620128711693735	0.0016499148116901048	0.0011507316994541987	0.0009222880999436467	0.0008793224174468697	8.635262030998868e-05	9.810046629435003e-05	0.0002207110275991164	9.70813955746079e-05	0.00010416611022377017	0.0003198909931320795	0.0005206353464648322	0.0005791938113106523	0.0005579089982486598	0.0030186382783440042	0.0035816804100234447	0.00018194854015548702	0.0002385451065793978	0.0009651668118006772	0.00020306492662587318	0.0003072987234792087	5.712733819701587e-05	0.00016232389849828654	7.197222930940586e-05	0.0007417202463815965	0.0028368499366918975	5.2136888296716827e-05
Leclercia sp. J807	0.00010171104511194406	6.482487351307947e-05	5.6823437685832464e-05	7.180184828651381e-05	7.902188984977584e-05	0.0001261994904397933	0.0001721547514711406	0.00019706110788689725	0.00018605260848928454	1.0714127553355164e-05	0.00021674476794591806	0.0001658941755415599	0.00022381670823823084	0.00018994500651467312	0.0002040262885904377	0.00019454760271032603	0.000163076302058752	0.00017287382616086797	6.435478912251953e-06	9.40549277370197e-05	4.205296416984884e-05	1.4833820881180806e-05	1.0180158019727253e-05	4.140976366661997e-05	4.0580974624571635e-05	1.7649865498219422e-06	0.00015004589305386788	8.641324941543979e-05	8.689481382786137e-06
Leclercia sp. Colony189	0.0001786576618488061	0.00011013258080716726	7.69759359348777e-05	0.00042049912214601977	0.0008181321033700673	0.0007063996634680254	0.0009120723954203358	0.00126478296585086	0.001048237310102128	2.2142530276934006e-05	0.001187558723691997	0.0011211953402433155	0.0012607342685847574	0.0009531518754744035	0.00105764819522421	0.0012214295522543538	0.0006438636114225549	0.0005796556056642367	2.281669796162056e-05	0.0009449794007781	0.000401451955514118	0.0004160670730653529	0.0008655501795377403	0.0003835692707513922	0.00012699671076707463	1.6080988565044364e-05	0.0008753149829191613	0.00021272138581590434	0.00020114540237930873
