name	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000104	FAME000112	FAME000124	FAME000132
Leclercia adecarboxylata	1261291.0	1486983.0	938433.0	866986.0	461302.0	488632.0	846764.0	722764.0	784078.0	29423.0	784182.0	568904.0	960285.0	1088043.0	1121137.0	1376671.0	3060319.0	6343490.0	23178.0	274073.0	153493.0	75628.0	36690.0	104413.0	208715.0	13009.0	888342.0	3304732.0	95775.0
Leclercia sp. 119287	9407.0	26982.0	18039.0	334777.0	575193.0	627084.0	973847.0	1641856.0	1813914.0	2683.0	1791848.0	1290369.0	1885671.0	1552940.0	1834189.0	2050993.0	1186006.0	1298592.0	5366.0	236916.0	68576.0	40286.0	21339.0	82389.0	42632.0	4114.0	1168022.0	311821.0	35632.0
Leclercia sp. G3L	5750.0	14548.0	9722.0	148673.0	252821.0	272248.0	429036.0	723171.0	799176.0	2656.0	795083.0	548846.0	842297.0	680827.0	804912.0	916992.0	523251.0	575808.0	4627.0	201164.0	51764.0	25193.0	11718.0	57392.0	27518.0	3087.0	513880.0	136582.0	16496.0
Leclercia sp. 29361	352.0	644.0	422.0	3571.0	5684.0	5948.0	10172.0	15712.0	17827.0	108.0	17934.0	11517.0	18941.0	14978.0	18255.0	21354.0	14175.0	17269.0	436.0	4773.0	1632.0	673.0	348.0	1395.0	819.0	410.0	11845.0	4474.0	415.0
Leclercia sp. W6	666.0	1705.0	493.0	1290.0	1276.0	1101.0	1845.0	2337.0	2942.0	57.0	2683.0	1969.0	3068.0	2319.0	2843.0	3211.0	2887.0	3839.0	109.0	10523.0	2006.0	829.0	301.0	2265.0	912.0	75.0	1952.0	1416.0	76.0
Leclercia sp. LSNIH1	1851.0	3698.0	993.0	2268.0	3048.0	2254.0	3533.0	4413.0	4673.0	300.0	5229.0	3790.0	5426.0	4298.0	4986.0	5731.0	4680.0	6579.0	227.0	25915.0	4059.0	2063.0	917.0	5904.0	2051.0	71.0	3193.0	1965.0	110.0
Leclercia sp. W17	439.0	451.0	341.0	1303.0	1869.0	2177.0	3260.0	4885.0	5944.0	95.0	5557.0	4134.0	5936.0	4822.0	6005.0	7167.0	4874.0	6300.0	114.0	1029.0	743.0	371.0	135.0	357.0	277.0	79.0	3849.0	2283.0	106.0
Leclercia sp. LSNIH3	5451.0	7846.0	4904.0	4320.0	2927.0	2324.0	3034.0	351.0	464.0	927.0	460.0	351.0	1495.0	2127.0	2501.0	2710.0	15734.0	31865.0	622.0	1400.0	4705.0	1410.0	1298.0	378.0	896.0	367.0	2615.0	18417.0	162.0
Leclercia sp. J807	230.0	186.0	172.0	188.0	201.0	318.0	594.0	801.0	880.0	45.0	1027.0	559.0	1046.0	776.0	881.0	945.0	850.0	1538.0	22.0	552.0	205.0	103.0	43.0	274.0	224.0	9.0	529.0	561.0	27.0
Leclercia sp. Colony189	404.0	316.0	233.0	1101.0	2081.0	1780.0	3147.0	5141.0	4958.0	93.0	5627.0	3778.0	5892.0	3894.0	4567.0	5933.0	3356.0	5157.0	78.0	5546.0	1957.0	2889.0	3656.0	2538.0	701.0	82.0	3086.0	1381.0	625.0
Leclercia pneumoniae	84.0	136.0	82.0	148.0	187.0	157.0	290.0	415.0	445.0	79.0	499.0	338.0	495.0	372.0	463.0	518.0	379.0	498.0	66.0	470.0	260.0	194.0	125.0	266.0	167.0	147.0	308.0	190.0	102.0
Enterobacter sp. RHBSTW-00994	184865.0	114638.0	1193311.0	99485.0	46552.0	12819.0	6996.0	936.0	579.0	1420.0	3041.0	3304.0	206.0	108.0	1192.0	104.0	51.0	28.0	1022.0	39284.0	23866.0	961910.0	593879.0	2815391.0	3163842.0	818.0	4855.0	80.0	942.0
Enterobacter sp. 638	868.0	2109.0	1196.0	5289.0	6199.0	6531.0	8959.0	8751.0	12573.0	172.0	12060.0	8148.0	7385.0	5013.0	2314.0	792.0	226.0	352.0	281.0	10282.0	14526.0	15328.0	10905.0	8149.0	3441.0	197.0	7336.0	36527.0	39799.0
Enterobacter sp. C2	67.0	50.0	79.0	14.0	13.0	6.0	2.0	1.0	2.0	73.0									94.0	31.0	35.0	19.0	21.0	48.0	44.0	15.0			
Enterobacter sp. JUb54	50.0	76.0	22.0	37.0	39.0	18.0	11.0	1.0		110.0				1.0			1.0		81.0	80.0	29.0	17.0	9.0	11.0	9.0	85.0	7.0		
Enterobacter sp. 18A13	110.0	62.0	57.0	49.0	55.0	80.0	88.0	67.0	93.0	33.0	109.0	69.0	80.0	59.0	60.0	40.0	81.0	148.0	10.0	84.0	37.0	95.0	72.0	54.0	13.0	6.0	68.0	309.0	316.0
Enterobacter sp. CP102	29.0	30.0	37.0	14.0	23.0	8.0	22.0	9.0	9.0	2235.0	18.0	6.0	27.0	15.0	13.0	23.0	20.0	50.0	1526.0	1715.0	65.0	98.0	46.0	115.0	68.0	348.0	13.0	39.0	8.0
Enterobacter sp. RHBSTW-00175	43.0	22.0	26.0	12.0	15.0	8.0	23.0	9.0	12.0	3335.0	22.0	10.0	10.0	3.0		17.0	20.0	70.0	1743.0	153.0	26.0	18.0	26.0	50.0	56.0	373.0	9.0	78.0	59.0
Enterobacter sp. PGRG2	21.0	50.0	17.0	21.0	13.0	3.0	7.0	8.0	6.0	13.0	21.0	7.0	7.0	12.0	1.0	10.0	8.0	30.0	4.0	15.0	11.0	5.0	3.0	1.0	2.0	16.0	2.0	2.0	
Enterobacter sp. SA187	20.0	54.0	12.0	12.0	11.0	5.0	4.0	2.0	1.0	18.0	1.0						4.0		12.0	14.0	6.0	12.0	5.0	3.0		15.0			2.0
Enterobacter sp. R4-368	25.0	32.0	4.0	12.0	20.0	7.0	4.0	2.0		9.0									18.0	51.0	17.0	23.0	1.0	15.0	5.0	14.0	6.0		
Enterobacter sp. SGAir0187	16.0	5.0	1.0	6.0	5.0	2.0	3.0	1.0	6.0	37.0	3.0	2.0	1.0	1.0				1.0	28.0	251.0	21.0	26.0	16.0		5.0	4.0		5.0	2.0
Enterobacter sp. RHBSTW-00593	117.0	127.0	109.0	95.0	28.0	8.0	21.0		11.0	166.0	21.0	20.0	21.0	11.0	11.0	18.0	173.0	315.0	68.0	533.0	47.0	56.0	67.0	17.0	88.0	62.0	18.0	221.0	44.0
Enterobacter sp. E20	47.0	17.0	279.0	17.0	13.0	12.0	14.0	3.0	21.0	327.0	5.0	11.0	2.0	2.0	5.0	3.0	3.0		134.0	3527.0	129.0	225.0	110.0	426.0	543.0	85.0	3.0	40.0	44.0
Enterobacter sp. Colony194	8.0	26.0	22.0	10.0	7.0	1.0	3.0	1.0	10.0	38.0	5.0		1.0	3.0					44.0	79.0	60.0	88.0	53.0	51.0	62.0	70.0	3.0	12.0	6.0
Enterobacter sp. SES19	9.0	9.0	3.0	26.0	7.0	5.0	8.0	7.0	9.0	18.0	16.0	10.0	16.0	32.0		3.0	1.0		19.0	421.0	125.0	263.0	119.0	191.0	92.0	8.0	1.0	1.0	
Enterobacter sp. T2	30.0	21.0	44.0	22.0	21.0	14.0	21.0	22.0	28.0	269.0	20.0	13.0	26.0	13.0	16.0	3.0		3.0	172.0	1793.0	1480.0	1487.0	419.0	432.0	133.0	93.0	22.0	144.0	222.0
Enterobacter sp. D2	2.0	7.0		1.0		1.0	2.0			4.0																			
Enterobacter sp. CRENT-193	287.0																												
Enterobacter sp. HK169	6.0		22.0	9.0	7.0	3.0	6.0			109.0		2.0		2.0					78.0	12492.0	270.0	443.0	16.0	17.0	14.0	20.0		3.0	
Enterobacter sp. JBIWA005	3.0	3.0	3.0	2.0	17.0	7.0	23.0	26.0	37.0	39.0	23.0	30.0	21.0	6.0	2.0	4.0	7.0	5.0	27.0	74.0	47.0	38.0	52.0	29.0	23.0	29.0	22.0	79.0	122.0
Enterobacter hormaechei	8160.0	12978.0	12690.0	7960.0	7213.0	6032.0	5352.0	5050.0	6173.0	27012.0	6328.0	4463.0	5438.0	4086.0	4674.0	5451.0	4987.0	8811.0	30646.0	75703.0	24334.0	33509.0	18113.0	36373.0	30175.0	15049.0	4568.0	10912.0	8584.0
Enterobacter roggenkampii	1320.0	1290.0	3683.0	844.0	636.0	495.0	744.0	924.0	960.0	18003.0	920.0	649.0	921.0	621.0	780.0	902.0	1012.0	1580.0	12014.0	32906.0	51241.0	133134.0	25979.0	9661.0	10324.0	6329.0	749.0	1122.0	573.0
Enterobacter asburiae	1206.0	2383.0	2728.0	3776.0	4963.0	4217.0	9599.0	11589.0	12961.0	17493.0	14078.0	11943.0	14244.0	12857.0	12261.0	9534.0	8831.0	10498.0	12134.0	114817.0	8228.0	9216.0	2588.0	5720.0	5971.0	6204.0	10299.0	5556.0	1411.0
Enterobacter kobei	1805.0	2537.0	2752.0	1336.0	1018.0	935.0	1206.0	1065.0	1371.0	29087.0	1304.0	1019.0	1133.0	883.0	921.0	958.0	1452.0	2352.0	21223.0	45398.0	7589.0	4018.0	2027.0	4509.0	5120.0	6902.0	917.0	3931.0	2830.0
Enterobacter cloacae	466.0	600.0	586.0	306.0	357.0	187.0	473.0	183.0	750.0	4264.0	715.0	292.0	281.0	382.0	303.0	683.0	486.0	1098.0	3099.0	1434.0	519.0	723.0	434.0	780.0	766.0	847.0	190.0	942.0	469.0
Enterobacter ludwigii	362.0	358.0	1564.0	294.0	254.0	224.0	293.0	340.0	358.0	5362.0	386.0	250.0	241.0	186.0	175.0	175.0	129.0	225.0	4716.0	28089.0	28155.0	14898.0	2499.0	4688.0	5146.0	2189.0	263.0	893.0	1278.0
Enterobacter cancerogenus	84.0	114.0	67.0	89.0	112.0	55.0	118.0	145.0	178.0	98.0	190.0	111.0	142.0	110.0	125.0	128.0	101.0	199.0	74.0	208.0	275.0	264.0	183.0	212.0	166.0	38.0	110.0	297.0	252.0
Enterobacter chengduensis	72.0	60.0	486.0	46.0	36.0	10.0	11.0	11.0	22.0	51.0	22.0	9.0	16.0	6.0		1.0	1.0	1.0	40.0	99.0	115.0	338.0	235.0	1124.0	1432.0	39.0	14.0	23.0	31.0
Enterobacter cloacae complex sp.	22.0	57.0	28.0	8.0	19.0	17.0	11.0	1.0	7.0	33.0	1.0	3.0	5.0	1.0			3.0	8.0	34.0	1187.0	219.0	108.0	48.0	270.0	106.0	15.0	3.0	11.0	17.0
Enterobacter sp. BIDMC 29	42.0	15.0	101.0	20.0	9.0		35.0	21.0	40.0	112.0	44.0	18.0	22.0	17.0	16.0	18.0	31.0	65.0	80.0	378.0	316.0	207.0	50.0	230.0	250.0	16.0	21.0	136.0	114.0
Enterobacter cloacae complex sp. ECNIH7	6.0	37.0			5.0	5.0	13.0		12.0	154.0	16.0	4.0	3.0	3.0		8.0	3.0	11.0	49.0	255.0	22.0	43.0	9.0			258.0	8.0	41.0	49.0
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	11.0		67.0	18.0	6.0			5.0		250.0									99.0	1278.0	1055.0	454.0	96.0	188.0	186.0	16.0			
Enterobacter sichuanensis	15.0	16.0	18.0	16.0	25.0	17.0	28.0	39.0	46.0	22.0	58.0	26.0	33.0	16.0	16.0	36.0	31.0	24.0	144.0	542.0	52.0	67.0	22.0	37.0	62.0	102.0	36.0	74.0	93.0
Enterobacter chuandaensis	12.0	22.0	6.0	25.0	20.0	9.0	35.0	30.0	27.0	35.0	33.0	16.0	29.0	16.0	15.0	38.0	17.0	37.0	59.0	119.0	35.0	39.0	18.0	28.0	6.0	19.0	26.0	75.0	56.0
Enterobacter pasteurii	11.0	7.0	4.0	21.0	33.0	25.0	51.0	63.0	74.0	20.0	103.0	33.0	81.0	53.0	59.0	101.0	64.0	64.0	14.0	16.0	36.0	60.0	33.0	30.0	10.0	16.0	41.0	35.0	9.0
Enterobacter mori	100.0	155.0	93.0	126.0	146.0	104.0	194.0	214.0	290.0	1597.0	293.0	184.0	245.0	169.0	154.0	196.0	163.0	229.0	1004.0	1447.0	622.0	838.0	292.0	316.0	233.0	2640.0	190.0	499.0	451.0
Enterobacter bugandensis	54.0	44.0	84.0	48.0	72.0	49.0	79.0	59.0	112.0	140.0	106.0	67.0	57.0	31.0	22.0	21.0	18.0	42.0	99.0	1084.0	665.0	532.0	196.0	291.0	204.0	127.0	66.0	278.0	327.0
Enterobacter wuhouensis	33.0	37.0	17.0	34.0	23.0	36.0	45.0	54.0	59.0	32.0	54.0	42.0	51.0	27.0	8.0	12.0	10.0	4.0	36.0	113.0	124.0	89.0	84.0	67.0	23.0	21.0	40.0	160.0	197.0
Enterobacter oligotrophicus	27.0	41.0	17.0	26.0	29.0	14.0	27.0	26.0	19.0	31.0	40.0	12.0	23.0	9.0	9.0	3.0	4.0	9.0	34.0	49.0	59.0	92.0	49.0	81.0	49.0	10.0	21.0	75.0	112.0
