species	FAME000121_S41	FAME000114_S47	FAME000129_S59	FAME000122_S40	FAME000109_S52	FAME000120_S42	FAME000117_S45	FAME000106_S55	FAME000119_S43	FAME000126_S62	FAME000125_S63	FAME000132_S66	FAME000108_S53	FAME000107_S54	FAME000127_S61	FAME000118_S44	FAME000112_S49	FAME000113_S48	FAME000123_S39	FAME000104_S65	FAME000110_S51	FAME000115_S64	FAME000111_S50	FAME000128_S60	FAME000130_S58	FAME000124_S38	FAME000131_S57	FAME000105_S56	FAME000116_S46
Aeromonas phage AsXd-1	0.3516013146831766		0.3949730700179533	0.009198785760279642	0.8782806364951437			2.0332521444456213	0.007682261657832066	0.7517347725520432	0.5696245968018667		1.1314475873544092	0.15078691923475637	0.6212510711225364	0.007399186089530152	0.052427388067526476		0.00549178977428744	0.1890563387889591	0.3537318712415989	0.575105341077326	0.5551557520304308	0.683886058635796	0.6499011020062164	0.004876621476640983	0.14048727916554404	1.140307387208726	
Aeromonas phage phiARM81mr	0.007643506840938623		0.6283662477558348	0.018397571520559285	3.1101467245298613		0.019104021396503964	2.742772424017791		2.7285188040777864	6.032530368540251		1.7415418746533555	0.7492225049476957	0.6885787734116783		3.449722134843242	0.6115223688445446		4.148436233997732	2.794481782808631	5.13039517139278	4.8113498509304	1.1754911094812377	1.23664046008344	0.024383107383204913	0.8737154074131096	0.9122459097669807	
Bacteriophage sp.	1.2611786287548727	5.357485758177047	4.449431478156792	1.0210652193910403	5.404009092787766	0.9185548071034905	5.836278536631961	1.8849941755797945	3.2495966812629637	1.2914417887432537	1.187289822249674	15.43778801843318	5.146977260122019	1.1120535293563283	3.0052638021789693	4.076951535331114	5.085456642550068	3.4036047634373996	0.5986050853973309	1.8257440717333766	4.598514326140785	1.417833959685685	7.073095507350674	3.256883461851052	2.40014626930173	12.64995611040671	1.0738616681421038	1.3782845810609816	8.01928390851902
Bacteroides phage p00	0.007643506840938623	0.28803686871919604			0.010332713370531101			0.02117970983797522	0.015364523315664132	0.01713355606956224	0.07549241644362088		0.011092623405435386			0.014798372179060304		0.0321853878339234	1.0544236366631885	0.13504024199211367	0.011791062374719963	0.0341646737273659		0.06541518821733701		0.004876621476640983	0.0057734498287209885		0.0058792404021400435
Caudovirales sp.	0.007643506840938623		2.5254338719329743	0.41394535921258396	1.1365984707584211	0.03827311696264544	0.07641608558601586	2.5309753256380385	0.030729046631328263	0.08352608583911592		0.027107617240444564	2.129783693843594	9.7210441994157	0.0887501530175052	0.022197558268590455	1.174373492712593	0.0160926939169617	0.13180295458289856	0.01620482903905364	0.2594033722438392	0.08541168431841475	0.2570165518659402	2.2697088032985113	6.484051659657929	0.44377255437432944	10.844463261614257	3.5101636093207738	0.023516961608560174
Cellulophaga phage phi47:1	0.030574027363754492	0.556871279523779	1.5978456014362656	0.018397571520559285	0.49597024178549287	0.06889161053276179	0.6017766739898749	0.7836492640050832	0.13828070984097718	2.807761500899512	0.7411982705373688	0.020330712930333422	0.6766500277315586	0.4240882103477523	5.689190843432489	0.09618941916389197	0.5976722239698018	0.265529449629868	0.01098357954857488	0.5401609679684547	0.16507487324607947	1.0420225486846602	0.12336794489565128	3.173627767756259	1.2914914482323023	0.053642836243050815	0.6793425965128363	0.6346058502726821	0.24692809688988182
Clostridium phage phiCT9441A	0.015287013681877246		0.04189108318372232					0.01058985491898761		0.42405551272166536	0.5902134376501269				0.5784061696658098					0.5077513098903473		0.592187677941009		0.3825797371498801	0.004986453468078387		0.0057734498287209885		
Cronobacter phage CR5	0.007643506840938623							0.01058985491898761	0.015364523315664132	0.00214169450869528										0.11343380327337547			0.11308728282101367				0.0019244832762403295		0.0058792404021400435
Cronobacter phage ENT39118	9.15692119544447	7.853805287076746	0.34111310592459604	6.42995124643547	3.368464558793139	13.066442131047152	7.383704269748782	0.5930318754633062	6.8833064454175314	0.0856677803478112	0.07549241644362088	0.10165356465166711	2.9728230726566833	0.16963528413910092	0.13159505447423187	9.77432482426933	8.419838523644751	8.738332796910203	7.452358723708056	0.03240965807810728	4.457021577644146	0.06263523516683749	5.921661354991262	0.22597974111443694	0.21275534797134452	1.3410709060762702	0.05003656518224857	0.28755577590480913	7.578340878358516
Cronobacter phage ENT47670	1.620423450278988	1.7666261281444025	0.4907241172950329	1.4994020789255817	0.7646207894193014	2.0590936925903245	2.110994364313688	0.14825796886582654	1.175386033648306	0.2741368971129958	0.04804062864594057	0.10165356465166711	0.6433721575152523	0.04240882103477523	1.2731056432855918	0.5697373288938217	2.4955436720142603	2.2771161892500804	1.5981108243176452	0.021606438718738186	0.7782101167315175	0.0683293474547318	1.0486275316130358	0.6184708704184589	0.29253860346059873	1.0826099678142982	0.09622416381201647	0.08924144769459594	0.3115997413134223
Cronobacter phage phiES15	0.05350454788657036		0.00897666068222621	0.6347162174592954	0.0929944203347799	0.053582363747703615	0.009552010698251982	1.3343217197924389	0.07682261657832065	0.07067591878694424	0.061766522544780725	0.033884521550555706	0.21075984470327233	0.2968617472434266	0.02448280083241523	0.059193488716241215	0.11534025374855825		0.8292602559174035	0.03240965807810728	0.10611956137247967	0.05124701059104886	0.09252595867173846	0.0713620235098222	0.011635058092182904	1.0728567248610164	0.023093799314883954	0.8824987605354487	0.31159974131342233
